Quarter Ending ,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 13 weeks,> 13 - 21 weeks,> 21 - 26 weeks,> 26 weeks,>26-52 weeks,>52 weeks,> 26-30 weeks,> 30 weeks,>30-36 weeks,> 26 - 36 weeks,> 36 weeks,Total,
30-Sep-2014,Southern,General Medicine,Acute Services,9,2,1,0,0,,,--,--,--,--,--,12,
30-Sep-2014,Southern,General Surgery,Acute Services,1232,660,413,103,19,,,--,--,--,--,--,2427,
30-Sep-2014,Southern,GP Other,Acute Services,70,18,5,6,0,,,--,--,--,--,--,99,
30-Sep-2014,Southern,Gynaecology,Acute Services,232,163,94,34,10,,,--,--,--,--,--,533,
30-Sep-2014,Southern,Haematology (Clinical),Acute Services,27,0,0,0,0,,,--,--,--,--,--,27,
30-Sep-2014,Southern,Medical Oncology,Acute Services,6,0,0,0,0,,,--,--,--,--,--,6,
30-Sep-2014,Southern,Neurology,Acute Services,2,0,0,0,0,,,--,--,--,--,--,2,
30-Sep-2014,Southern,Ophthalmology,Acute Services,90,68,8,0,1,,,--,--,--,--,--,167,
30-Sep-2014,Southern,Oral Surgery,Acute Services,18,17,13,3,6,,,--,--,--,--,--,57,
30-Sep-2014,Southern,Other,Acute Services,86,84,3,0,0,,,--,--,--,--,--,173,
30-Sep-2014,Southern,Pain Management,Acute Services,85,77,132,67,49,,,--,--,--,--,--,410,
30-Sep-2014,Southern,Rheumatology,Acute Services,108,61,2,0,0,,,--,--,--,--,--,171,
30-Sep-2014,Southern,T & O Surgery,Acute Services,201,143,274,93,228,,,--,--,--,--,--,939,
30-Sep-2014,Southern,Thoracic Medicine,Acute Services,15,2,0,0,0,,,--,--,--,--,--,17,
30-Sep-2014,Southern,Urology,Acute Services,289,227,175,79,338,,,--,--,--,--,--,1108,
30-Sep-2014,Western,Cardiology,Acute Services,32,55,0,0,0,,,--,--,--,--,--,87,
30-Sep-2014,Western,ENT,Acute Services,259,151,200,40,52,,,--,--,--,--,--,702,
30-Sep-2014,Western,General Medicine,Acute Services,801,173,0,0,0,,,--,--,--,--,--,974,
30-Sep-2014,Western,General Surgery,Acute Services,743,494,390,136,93,,,--,--,--,--,--,1856,
30-Sep-2014,Western,GP Other,Acute Services,70,17,1,0,0,,,--,--,--,--,--,88,
30-Sep-2014,Western,Gynaecology,Acute Services,288,167,185,40,11,,,--,--,--,--,--,691,
30-Sep-2014,Western,Ophthalmology,Acute Services,401,336,69,5,0,,,--,--,--,--,--,811,
30-Sep-2014,Western,Oral Surgery,Acute Services,151,85,13,1,1,,,--,--,--,--,--,251,
30-Sep-2014,Western,Pain Management,Acute Services,85,123,59,2,0,,,--,--,--,--,--,269,
30-Sep-2014,Western,T & O Surgery,Acute Services,329,415,450,211,413,,,--,--,--,--,--,1818,
30-Sep-2014,Western,Urology,Acute Services,272,112,0,0,0,,,--,--,--,--,--,384,
31-Dec-2014,Belfast,General Surgery,Acute Services,752,679,555,277,"1,297",,,--,--,--,--,--,"3,560",
31-Dec-2014,Belfast,Urology,Acute Services,716,345,223,105,"1,061",,,--,--,--,--,--,"2,450",
31-Dec-2014,Belfast,T & O Surgery,Acute Services,654,"2,035","1,921","1,119","1,914",,,--,--,--,--,--,"7,643",
31-Dec-2014,Belfast,ENT,Acute Services,201,374,315,189,638,,,--,--,--,--,--,"1,717",
31-Dec-2014,Belfast,Ophthalmology,Acute Services,592,"1,038",511,121,285,,,--,--,--,--,--,"2,547",
31-Dec-2014,Belfast,Oral Surgery,Acute Services,101,98,53,3,5,,,--,--,--,--,--,260,
31-Dec-2014,Belfast,Restorative Dentistry,Acute Services,27,8,8,1,8,,,--,--,--,--,--,52,
31-Dec-2014,Belfast,Paediatric Dentistry,Acute Services,50,30,20,1,1,,,--,--,--,--,--,102,
31-Dec-2014,Belfast,Neurosurgery,Acute Services,81,53,28,7,13,,,--,--,--,--,--,182,
31-Dec-2014,Belfast,Plastic Surgery,Acute Services,111,95,106,64,204,,,--,--,--,--,--,580,
31-Dec-2014,Belfast,Cardiac Surgery,Acute Services,114,102,108,43,99,,,--,--,--,--,--,466,
31-Dec-2014,Belfast,Paediatric Surgery,Acute Services,42,72,93,49,148,,,--,--,--,--,--,404,
31-Dec-2014,Belfast,Thoracic Surgery,Acute Services,44,7,10,3,14,,,--,--,--,--,--,78,
31-Dec-2014,Belfast,Pain Management,Acute Services,147,260,251,103,424,,,--,--,--,--,--,"1,185",
31-Dec-2014,Belfast,General Medicine,Acute Services,7,9,0,1,0,,,--,--,--,--,--,17,
31-Dec-2014,Belfast,Gastroenterology,Acute Services,608,484,419,134,109,,,--,--,--,--,--,"1,754",
31-Dec-2014,Belfast,Endocrinology,Acute Services,5,12,0,1,1,,,--,--,--,--,--,19,
31-Dec-2014,Belfast,Cardiology,Acute Services,261,219,105,25,95,,,--,--,--,--,--,705,
31-Dec-2014,Belfast,Dermatology,Acute Services,20,20,34,6,4,,,--,--,--,--,--,84,
31-Dec-2014,Belfast,Thoracic Medicine,Acute Services,11,8,8,3,10,,,--,--,--,--,--,40,
31-Dec-2014,Belfast,Nephrology,Acute Services,24,5,6,0,0,,,--,--,--,--,--,35,
31-Dec-2014,Belfast,Neurology,Acute Services,48,32,3,0,0,,,--,--,--,--,--,83,
31-Dec-2014,Belfast,Rheumatology,Acute Services,18,5,4,3,10,,,--,--,--,--,--,40,
31-Dec-2014,Belfast,Paediatrics,Acute Services,32,66,61,20,7,,,--,--,--,--,--,186,
31-Dec-2014,Belfast,Gynaecology,Acute Services,374,307,253,105,262,,,--,--,--,--,--,"1,301",
31-Dec-2014,Belfast,GP Other,Acute Services,1,0,1,0,0,,,--,--,--,--,--,2,
31-Dec-2014,Belfast,Forensic Psychiatry,Mental Health,3,0,2,0,0,,,--,--,--,--,--,5,
31-Dec-2014,Belfast,Radiology,Acute Services,28,9,9,0,0,,,--,--,--,--,--,46,
31-Dec-2014,Northern,General Surgery,Acute Services,841,477,190,60,99,,,--,--,--,--,--,"1,667",
31-Dec-2014,Northern,Urology,Acute Services,136,256,139,33,10,,,--,--,--,--,--,574,
31-Dec-2014,Northern,ENT,Acute Services,246,187,88,10,10,,,--,--,--,--,--,541,
31-Dec-2014,Northern,Pain Management,Acute Services,97,104,101,3,5,,,--,--,--,--,--,310,
31-Dec-2014,Northern,Gastroenterology,Acute Services,582,205,0,0,0,,,--,--,--,--,--,787,
31-Dec-2014,Northern,Cardiology,Acute Services,105,97,11,0,0,,,--,--,--,--,--,213,
31-Dec-2014,Northern,Dermatology,Acute Services,88,27,0,0,0,,,--,--,--,--,--,115,
31-Dec-2014,Northern,Thoracic Medicine,Acute Services,16,0,0,0,0,,,--,--,--,--,--,16,
31-Dec-2014,Northern,Gynaecology,Acute Services,308,221,127,59,75,,,--,--,--,--,--,790,
31-Dec-2014,Northern,GP Other,Acute Services,108,162,62,3,3,,,--,--,--,--,--,338,
31-Dec-2014,South Eastern,General Surgery,Acute Services,756,490,252,108,124,,,--,--,--,--,--,"1,730",
31-Dec-2014,South Eastern,Urology,Acute Services,281,155,48,29,192,,,--,--,--,--,--,705,
31-Dec-2014,South Eastern,T & O Surgery,Acute Services,20,5,1,1,1,,,--,--,--,--,--,28,
31-Dec-2014,South Eastern,ENT,Acute Services,78,45,19,6,6,,,--,--,--,--,--,154,
31-Dec-2014,South Eastern,Ophthalmology,Acute Services,175,142,72,0,0,,,--,--,--,--,--,389,
31-Dec-2014,South Eastern,Oral Surgery,Acute Services,57,42,47,7,23,,,--,--,--,--,--,176,
31-Dec-2014,South Eastern,Plastic Surgery,Acute Services,212,169,180,61,181,,,--,--,--,--,--,803,
31-Dec-2014,South Eastern,Paediatric Surgery,Acute Services,14,34,15,5,12,,,--,--,--,--,--,80,
31-Dec-2014,South Eastern,Pain Management,Acute Services,39,37,2,1,0,,,--,--,--,--,--,79,
31-Dec-2014,South Eastern,General Medicine,Acute Services,510,287,205,81,19,,,--,--,--,--,--,"1,102",
31-Dec-2014,South Eastern,Gastroenterology,Acute Services,41,12,1,0,0,,,--,--,--,--,--,54,
31-Dec-2014,South Eastern,Haematology (Clinical),Acute Services,5,0,0,0,0,,,--,--,--,--,--,5,
31-Dec-2014,South Eastern,Cardiology,Acute Services,90,31,11,2,4,,,--,--,--,--,--,138,
31-Dec-2014,South Eastern,Dermatology,Acute Services,75,57,2,0,0,,,--,--,--,--,--,134,
31-Dec-2014,South Eastern,Nephrology,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,
31-Dec-2014,South Eastern,Neurology,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,
31-Dec-2014,South Eastern,Rheumatology,Acute Services,2,0,0,0,0,,,--,--,--,--,--,2,
31-Dec-2014,South Eastern,Geriatric Medicine,Elderly Care,5,1,0,0,0,,,--,--,--,--,--,6,
31-Dec-2014,South Eastern,Gynaecology,Acute Services,152,165,124,59,103,,,--,--,--,--,--,603,
31-Dec-2014,South Eastern,Clinical Oncology,Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,
31-Dec-2014,Southern,General Surgery,Acute Services,978,777,574,175,197,,,--,--,--,--,--,"2,701",
31-Dec-2014,Southern,Urology,Acute Services,220,207,150,51,316,,,--,--,--,--,--,944,
31-Dec-2014,Southern,T & O Surgery,Acute Services,143,213,204,61,402,,,--,--,--,--,--,"1,023",
31-Dec-2014,Southern,ENT,Acute Services,246,181,24,1,0,,,--,--,--,--,--,452,
31-Dec-2014,Southern,Ophthalmology,Acute Services,69,71,7,0,3,,,--,--,--,--,--,150,
31-Dec-2014,Southern,Oral Surgery,Acute Services,19,22,13,5,13,,,--,--,--,--,--,72,
31-Dec-2014,Southern,Pain Management,Acute Services,63,139,134,51,147,,,--,--,--,--,--,534,
31-Dec-2014,Southern,General Medicine,Acute Services,1,4,9,0,1,,,--,--,--,--,--,15,
31-Dec-2014,Southern,Gastroenterology,Acute Services,296,222,100,2,3,,,--,--,--,--,--,623,
31-Dec-2014,Southern,Haematology (Clinical),Acute Services,41,2,0,0,0,,,--,--,--,--,--,43,
31-Dec-2014,Southern,Cardiology,Acute Services,221,239,88,3,0,,,--,--,--,--,--,551,
31-Dec-2014,Southern,Dermatology,Acute Services,134,121,16,0,0,,,--,--,--,--,--,271,
31-Dec-2014,Southern,Thoracic Medicine,Acute Services,20,0,0,0,0,,,--,--,--,--,--,20,
31-Dec-2014,Southern,Medical Oncology,Acute Services,6,1,0,0,0,,,--,--,--,--,--,7,
31-Dec-2014,Southern,Neurology,Acute Services,3,0,0,0,0,,,--,--,--,--,--,3,
31-Dec-2014,Southern,Rheumatology,Acute Services,92,94,25,2,0,,,--,--,--,--,--,213,
31-Dec-2014,Southern,Gynaecology,Acute Services,192,168,89,20,48,,,--,--,--,--,--,517,
31-Dec-2014,Southern,GP Other,Acute Services,83,18,0,0,0,,,--,--,--,--,--,101,
31-Dec-2014,Southern,Clinical Oncology,Acute Services,31,8,1,0,0,,,--,--,--,--,--,40,
31-Dec-2014,Southern,Other,Acute Services,34,70,31,2,1,,,--,--,--,--,--,138,
31-Dec-2014,Western,General Surgery,Acute Services,525,530,483,115,267,,,--,--,--,--,--,"1,920",
31-Dec-2014,Western,Urology,Acute Services,214,207,58,1,1,,,--,--,--,--,--,481,
31-Dec-2014,Western,T & O Surgery,Acute Services,344,422,401,220,707,,,--,--,--,--,--,"2,094",
31-Dec-2014,Western,ENT,Acute Services,167,172,232,55,132,,,--,--,--,--,--,758,
31-Dec-2014,Western,Ophthalmology,Acute Services,413,395,137,12,3,,,--,--,--,--,--,960,
31-Dec-2014,Western,Oral Surgery,Acute Services,150,56,37,19,1,,,--,--,--,--,--,263,
31-Dec-2014,Western,Pain Management,Acute Services,76,126,94,29,0,,,--,--,--,--,--,325,
31-Dec-2014,Western,General Medicine,Acute Services,816,231,1,0,0,,,--,--,--,--,--,"1,048",
31-Dec-2014,Western,Cardiology,Acute Services,47,58,2,0,0,,,--,--,--,--,--,107,
31-Dec-2014,Western,Gynaecology,Acute Services,202,241,147,31,48,,,--,--,--,--,--,669,
31-Dec-2014,Western,GP Other,Acute Services,77,1,0,0,0,,,--,--,--,--,--,78,
31-Mar-2015,Belfast,Cardiac Surgery,Acute Services,67,102,105,49,62,,,--,--,--,--,--,385,
31-Mar-2015,Belfast,Cardiology,Acute Services,220,174,117,46,80,,,--,--,--,--,--,637,
31-Mar-2015,Belfast,Dermatology,Acute Services,36,18,24,19,7,,,--,--,--,--,--,104,
31-Mar-2015,Belfast,Endocrinology,Acute Services,11,0,0,0,0,,,--,--,--,--,--,11,
31-Mar-2015,Belfast,ENT,Acute Services,348,314,340,192,847,,,--,--,--,--,--,2041,
31-Mar-2015,Belfast,Forensic Psychiatry,Mental Health,1,1,1,0,1,,,--,--,--,--,--,4,
31-Mar-2015,Belfast,Gastroenterology,Acute Services,669,466,376,91,47,,,--,--,--,--,--,1649,
31-Mar-2015,Belfast,General Medicine,Acute Services,7,5,7,1,0,,,--,--,--,--,--,20,
31-Mar-2015,Belfast,General Surgery,Acute Services,700,659,587,307,1399,,,--,--,--,--,--,3652,
31-Mar-2015,Belfast,GP Other,Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,
31-Mar-2015,Belfast,Gynaecology,Acute Services,259,292,291,140,345,,,--,--,--,--,--,1327,
31-Mar-2015,Belfast,Nephrology,Acute Services,35,5,1,0,0,,,--,--,--,--,--,41,
31-Mar-2015,Belfast,Neurology,Acute Services,64,33,12,3,0,,,--,--,--,--,--,112,
31-Mar-2015,Belfast,Neurosurgery,Acute Services,77,49,40,7,20,,,--,--,--,--,--,193,
31-Mar-2015,Belfast,Ophthalmology,Acute Services,870,805,468,246,382,,,--,--,--,--,--,2771,
31-Mar-2015,Belfast,Oral Surgery,Acute Services,119,113,82,22,4,,,--,--,--,--,--,340,
31-Mar-2015,Belfast,Paediatric Dentistry,Acute Services,55,30,17,1,3,,,--,--,--,--,--,106,
31-Mar-2015,Belfast,Paediatric Surgery,Acute Services,25,94,117,71,98,,,--,--,--,--,--,405,
31-Mar-2015,Belfast,Paediatrics,Acute Services,24,57,66,37,32,,,--,--,--,--,--,216,
31-Mar-2015,Belfast,Pain Management,Acute Services,149,231,222,147,538,,,--,--,--,--,--,1287,
31-Mar-2015,Belfast,Plastic Surgery,Acute Services,85,87,96,56,294,,,--,--,--,--,--,618,
31-Mar-2015,Belfast,Radiology,Acute Services,16,19,15,4,1,,,--,--,--,--,--,55,
31-Mar-2015,Belfast,Restorative Dentistry,Acute Services,36,17,11,2,11,,,--,--,--,--,--,77,
31-Mar-2015,Belfast,Rheumatology,Acute Services,10,8,4,1,17,,,--,--,--,--,--,40,
31-Mar-2015,Belfast,T & O Surgery,Acute Services,616,1711,1751,1198,3244,,,--,--,--,--,--,8520,
31-Mar-2015,Belfast,Thoracic Medicine,Acute Services,6,4,6,3,10,,,--,--,--,--,--,29,
31-Mar-2015,Belfast,Thoracic Surgery,Acute Services,39,18,9,3,18,,,--,--,--,--,--,87,
31-Mar-2015,Belfast,Urology,Acute Services,762,309,253,153,1171,,,--,--,--,--,--,2648,
31-Mar-2015,Northern,Cardiology,Acute Services,90,77,76,0,0,,,--,--,--,--,--,243,
31-Mar-2015,Northern,Dermatology,Acute Services,65,23,0,0,0,,,--,--,--,--,--,88,
31-Mar-2015,Northern,ENT,Acute Services,240,145,168,31,44,,,--,--,--,--,--,628,
31-Mar-2015,Northern,Gastroenterology,Acute Services,687,258,1,0,0,,,--,--,--,--,--,946,
31-Mar-2015,Northern,General Surgery,Acute Services,1019,478,174,105,143,,,--,--,--,--,--,1919,
31-Mar-2015,Northern,GP Other,Acute Services,129,131,71,12,1,,,--,--,--,--,--,344,
31-Mar-2015,Northern,Gynaecology,Acute Services,277,256,162,66,81,,,--,--,--,--,--,842,
31-Mar-2015,Northern,Pain Management,Acute Services,115,104,86,31,45,,,--,--,--,--,--,381,
31-Mar-2015,Northern,Thoracic Medicine,Acute Services,5,1,0,0,0,,,--,--,--,--,--,6,
31-Mar-2015,Northern,Urology,Acute Services,246,69,65,42,15,,,--,--,--,--,--,437,
31-Mar-2015,South Eastern,Cardiology,Acute Services,120,37,16,1,0,,,--,--,--,--,--,174,
31-Mar-2015,South Eastern,Clinical Oncology,Acute Services,3,0,0,0,0,,,--,--,--,--,--,3,
31-Mar-2015,South Eastern,Dermatology,Acute Services,93,44,2,0,0,,,--,--,--,--,--,139,
31-Mar-2015,South Eastern,ENT,Acute Services,67,41,22,6,16,,,--,--,--,--,--,152,
31-Mar-2015,South Eastern,Gastroenterology,Acute Services,18,9,12,6,1,,,--,--,--,--,--,46,
31-Mar-2015,South Eastern,General Medicine,Acute Services,432,229,238,105,159,,,--,--,--,--,--,1163,
31-Mar-2015,South Eastern,General Surgery,Acute Services,639,533,397,158,263,,,--,--,--,--,--,1990,
31-Mar-2015,South Eastern,Geriatric Medicine,Elderly Care,12,0,0,0,0,,,--,--,--,--,--,12,
31-Mar-2015,South Eastern,Gynaecology,Acute Services,190,124,104,71,226,,,--,--,--,--,--,715,
31-Mar-2015,South Eastern,Haematology (Clinical),Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,
31-Mar-2015,South Eastern,Neurology,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,
31-Mar-2015,South Eastern,Ophthalmology,Acute Services,162,181,44,2,65,,,--,--,--,--,--,454,
31-Mar-2015,South Eastern,Oral Surgery,Acute Services,41,34,34,18,65,,,--,--,--,--,--,192,
31-Mar-2015,South Eastern,Paediatric Surgery,Acute Services,14,37,24,5,37,,,--,--,--,--,--,117,
31-Mar-2015,South Eastern,Paediatrics,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,
31-Mar-2015,South Eastern,Pain Management,Acute Services,36,31,0,0,0,,,--,--,--,--,--,67,
31-Mar-2015,South Eastern,Plastic Surgery,Acute Services,186,160,131,101,358,,,--,--,--,--,--,936,
31-Mar-2015,South Eastern,Rheumatology,Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,
31-Mar-2015,South Eastern,T & O Surgery,Acute Services,15,6,3,0,1,,,--,--,--,--,--,25,
31-Mar-2015,South Eastern,Urology,Acute Services,250,164,54,32,189,,,--,--,--,--,--,689,
31-Mar-2015,Southern,Cardiology,Acute Services,206,277,206,26,1,,,--,--,--,--,--,716,
31-Mar-2015,Southern,Clinical Oncology,Acute Services,17,0,0,0,0,,,--,--,--,--,--,17,
31-Mar-2015,Southern,Dermatology,Acute Services,127,125,20,0,0,,,--,--,--,--,--,272,
31-Mar-2015,Southern,ENT,Acute Services,258,137,6,0,0,,,--,--,--,--,--,401,
31-Mar-2015,Southern,Gastroenterology,Acute Services,379,261,10,3,1,,,--,--,--,--,--,654,
31-Mar-2015,Southern,General Medicine,Acute Services,5,1,0,0,0,,,--,--,--,--,--,6,
31-Mar-2015,Southern,General Surgery,Acute Services,991,772,263,81,307,,,--,--,--,--,--,2414,
31-Mar-2015,Southern,GP Other,Acute Services,85,14,1,0,1,,,--,--,--,--,--,101,
31-Mar-2015,Southern,Gynaecology,Acute Services,207,126,50,20,26,,,--,--,--,--,--,429,
31-Mar-2015,Southern,Haematology (Clinical),Acute Services,21,1,0,0,0,,,--,--,--,--,--,22,
31-Mar-2015,Southern,Medical Oncology,Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,
31-Mar-2015,Southern,Neurology,Acute Services,7,2,0,0,0,,,--,--,--,--,--,9,
31-Mar-2015,Southern,Ophthalmology,Acute Services,78,38,0,0,0,,,--,--,--,--,--,116,
31-Mar-2015,Southern,Oral Surgery,Acute Services,9,17,14,8,11,,,--,--,--,--,--,59,
31-Mar-2015,Southern,Other,Acute Services,48,88,12,0,1,,,--,--,--,--,--,149,
31-Mar-2015,Southern,Pain Management,Acute Services,63,104,107,84,192,,,--,--,--,--,--,550,
31-Mar-2015,Southern,Rheumatology,Acute Services,98,133,25,0,0,,,--,--,--,--,--,256,
31-Mar-2015,Southern,T & O Surgery,Acute Services,220,199,161,88,359,,,--,--,--,--,--,1027,
31-Mar-2015,Southern,Thoracic Medicine,Acute Services,12,1,0,0,0,,,--,--,--,--,--,13,
31-Mar-2015,Southern,Urology,Acute Services,196,195,128,66,263,,,--,--,--,--,--,848,
31-Mar-2015,Western,Cardiology,Acute Services,61,57,5,0,0,,,--,--,--,--,--,123,
31-Mar-2015,Western,ENT,Acute Services,208,209,146,74,301,,,--,--,--,--,--,938,
31-Mar-2015,Western,General Medicine,Acute Services,897,212,0,0,0,,,--,--,--,--,--,1109,
31-Mar-2015,Western,General Surgery,Acute Services,444,364,328,229,632,,,--,--,--,--,--,1997,
31-Mar-2015,Western,GP Other,Acute Services,79,22,0,0,0,,,--,--,--,--,--,101,
31-Mar-2015,Western,Gynaecology,Acute Services,246,233,170,64,35,,,--,--,--,--,--,748,
31-Mar-2015,Western,Ophthalmology,Acute Services,413,440,159,31,8,,,--,--,--,--,--,1051,
31-Mar-2015,Western,Oral Surgery,Acute Services,134,99,38,17,54,,,--,--,--,--,--,342,
31-Mar-2015,Western,Pain Management,Acute Services,111,107,107,27,1,,,--,--,--,--,--,353,
31-Mar-2015,Western,T & O Surgery,Acute Services,293,360,416,308,1070,,,--,--,--,--,--,2447,
31-Mar-2015,Western,Urology,Acute Services,237,145,101,66,19,,,--,--,--,--,--,568,
30-Jun-2015,Belfast,General Surgery,Acute Services,757,643,597,248,1511,,,--,--,--,--,--,3756,
30-Jun-2015,Belfast,Urology,Acute Services,829,274,251,131,1302,,,--,--,--,--,--,2787,
30-Jun-2015,Belfast,T & O Surgery,Acute Services,623,1586,1593,906,2875,,,--,--,--,--,--,7583,
30-Jun-2015,Belfast,ENT,Acute Services,332,302,337,167,947,,,--,--,--,--,--,2085,
30-Jun-2015,Belfast,Ophthalmology,Acute Services,742,786,527,122,329,,,--,--,--,--,--,2506,
30-Jun-2015,Belfast,Oral Surgery,Acute Services,105,110,100,46,14,,,--,--,--,--,--,375,
30-Jun-2015,Belfast,Restorative Dentistry,Acute Services,38,30,6,4,11,,,--,--,--,--,--,89,
30-Jun-2015,Belfast,Paediatric Dentistry,Acute Services,59,33,23,6,4,,,--,--,--,--,--,125,
30-Jun-2015,Belfast,Neurosurgery,Acute Services,79,64,18,9,5,,,--,--,--,--,--,175,
30-Jun-2015,Belfast,Plastic Surgery,Acute Services,118,79,74,54,312,,,--,--,--,--,--,637,
30-Jun-2015,Belfast,Cardiac Surgery,Acute Services,97,67,80,49,71,,,--,--,--,--,--,364,
30-Jun-2015,Belfast,Paediatric Surgery,Acute Services,47,101,129,60,144,,,--,--,--,--,--,481,
30-Jun-2015,Belfast,Thoracic Surgery,Acute Services,30,11,9,4,10,,,--,--,--,--,--,64,
30-Jun-2015,Belfast,Anaesthetics,Acute Services,28,18,18,9,88,,,--,--,--,--,--,161,
30-Jun-2015,Belfast,Pain Management,Acute Services,141,164,168,86,466,,,--,--,--,--,--,1025,
30-Jun-2015,Belfast,General Medicine,Acute Services,3,0,4,0,3,,,--,--,--,--,--,10,
30-Jun-2015,Belfast,Gastroenterology,Acute Services,577,558,507,126,56,,,--,--,--,--,--,1824,
30-Jun-2015,Belfast,Endocrinology,Acute Services,10,4,3,0,0,,,--,--,--,--,--,17,
30-Jun-2015,Belfast,Cardiology,Acute Services,276,158,124,54,133,,,--,--,--,--,--,745,
30-Jun-2015,Belfast,Dermatology,Acute Services,24,22,27,15,19,,,--,--,--,--,--,107,
30-Jun-2015,Belfast,Thoracic Medicine,Acute Services,3,3,4,3,7,,,--,--,--,--,--,20,
30-Jun-2015,Belfast,Nephrology,Acute Services,50,5,1,0,0,,,--,--,--,--,--,56,
30-Jun-2015,Belfast,Neurology,Acute Services,69,34,19,0,0,,,--,--,--,--,--,122,
30-Jun-2015,Belfast,Rheumatology,Acute Services,2,8,0,0,0,,,--,--,--,--,--,10,
30-Jun-2015,Belfast,Paediatrics,Acute Services,5,29,73,35,48,,,--,--,--,--,--,190,
30-Jun-2015,Belfast,Gynaecology,Acute Services,326,327,281,117,374,,,--,--,--,--,--,1425,
30-Jun-2015,Belfast,GP Other,Acute Services,0,3,1,0,0,,,--,--,--,--,--,4,
30-Jun-2015,Belfast,Child & Adolescent Psychiatry,Mental Health,0,4,0,0,0,,,--,--,--,--,--,4,
30-Jun-2015,Belfast,Forensic Psychiatry,Mental Health,4,0,0,0,0,,,--,--,--,--,--,4,
30-Jun-2015,Belfast,Radiology,Acute Services,13,7,12,8,9,,,--,--,--,--,--,49,
30-Jun-2015,Northern,General Surgery,Acute Services,1074,565,325,68,134,,,--,--,--,--,--,2166,
30-Jun-2015,Northern,Urology,Acute Services,190,158,116,23,29,,,--,--,--,--,--,516,
30-Jun-2015,Northern,ENT,Acute Services,203,186,99,21,39,,,--,--,--,--,--,548,
30-Jun-2015,Northern,Pain Management,Acute Services,103,150,110,22,13,,,--,--,--,--,--,398,
30-Jun-2015,Northern,Gastroenterology,Acute Services,655,561,200,0,1,,,--,--,--,--,--,1417,
30-Jun-2015,Northern,Cardiology,Acute Services,81,94,66,5,0,,,--,--,--,--,--,246,
30-Jun-2015,Northern,Dermatology,Acute Services,102,17,0,0,0,,,--,--,--,--,--,119,
30-Jun-2015,Northern,Thoracic Medicine,Acute Services,14,0,0,0,0,,,--,--,--,--,--,14,
30-Jun-2015,Northern,Gynaecology,Acute Services,379,255,124,46,64,,,--,--,--,--,--,868,
30-Jun-2015,Northern,GP Other,Acute Services,125,92,97,7,4,,,--,--,--,--,--,325,
30-Jun-2015,South Eastern,General Surgery,Acute Services,659,487,429,243,514,,,--,--,--,--,--,2332,
30-Jun-2015,South Eastern,Urology,Acute Services,280,184,59,32,165,,,--,--,--,--,--,720,
30-Jun-2015,South Eastern,T & O Surgery,Acute Services,16,8,1,2,1,,,--,--,--,--,--,28,
30-Jun-2015,South Eastern,ENT,Acute Services,62,35,12,11,12,,,--,--,--,--,--,132,
30-Jun-2015,South Eastern,Ophthalmology,Acute Services,180,131,90,29,3,,,--,--,--,--,--,433,
30-Jun-2015,South Eastern,Oral Surgery,Acute Services,40,34,19,11,45,,,--,--,--,--,--,149,
30-Jun-2015,South Eastern,Plastic Surgery,Acute Services,255,157,128,70,489,,,--,--,--,--,--,1099,
30-Jun-2015,South Eastern,Paediatric Surgery,Acute Services,23,49,30,13,14,,,--,--,--,--,--,129,
30-Jun-2015,South Eastern,Pain Management,Acute Services,44,47,11,4,0,,,--,--,--,--,--,106,
30-Jun-2015,South Eastern,General Medicine,Acute Services,443,259,207,99,354,,,--,--,--,--,--,1362,
30-Jun-2015,South Eastern,Gastroenterology,Acute Services,30,21,10,4,18,,,--,--,--,--,--,83,
30-Jun-2015,South Eastern,Haematology (Clinical),Acute Services,5,0,0,0,0,,,--,--,--,--,--,5,
30-Jun-2015,South Eastern,Cardiology,Acute Services,114,83,18,0,0,,,--,--,--,--,--,215,
30-Jun-2015,South Eastern,Dermatology,Acute Services,81,41,1,0,0,,,--,--,--,--,--,123,
30-Jun-2015,South Eastern,Thoracic Medicine,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,
30-Jun-2015,South Eastern,Nephrology,Acute Services,2,0,0,0,0,,,--,--,--,--,--,2,
30-Jun-2015,South Eastern,Rheumatology,Acute Services,3,0,0,0,0,,,--,--,--,--,--,3,
30-Jun-2015,South Eastern,Geriatric Medicine,Elderly Care,6,0,0,0,0,,,--,--,--,--,--,6,
30-Jun-2015,South Eastern,Gynaecology,Acute Services,232,123,99,44,286,,,--,--,--,--,--,784,
30-Jun-2015,South Eastern,Clinical Oncology,Acute Services,9,0,0,0,0,,,--,--,--,--,--,9,
30-Jun-2015,Southern,General Surgery,Acute Services,1106,582,387,179,228,,,--,--,--,--,--,2482,
30-Jun-2015,Southern,Urology,Acute Services,198,179,149,44,278,,,--,--,--,--,--,848,
