Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results issued,Progress results time,Preliminary results announced,Voting papers order,Other elections were:,Poles were:,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable contested position,"Candidates Council sitting members 
(N)","Candidates Council sitting members 
(%)","Also candidates for Council
(N)",Sitting Mayor,Mayor/ Council members re-elected (N),"Mayor/ Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates (community) board members 
(N)","Candidates (community) board members 
(%)","(Community) board members elected 
(N)","(Community) board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Estimated population resident 2009,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout
(%)","Total voters 
(N)",Overall turnout (%),"Residential special votes cast 
(N)","Residential special votes cast 
(%)","Ratepayer special votes cast 
(N)","Ratepayer special votes cast 
(%)","Total special votes cast 
(N)","Total special votes cast 
(%)","Residential special votes allowed 
(N)","Residential special votes allowed 
(%)","Ratepayer special votes allowed 
(N)","Ratepayer special votes allowed 
(%)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women councillors
(N)","Women councillors
(%)",Unfilled positions
TAUPO DISTRICT,TURANGI/TONGARIRO COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,6,0,15,2.50,577,317,,,,,,,,,4,26.7%,2,33.3%,"3,081",378,10.93%,"3,459",4810,71.9%,"3,081",378,"3,459","1,599",51.9%,300,79.4%,"1,899",54.9%,22,1.4%,4,1.3%,26,1.4%,19,86.4%,3,75.0%,22,84.6%,5,0.3%,23,1.2%,28,1.5%,3,20.0%,2,33.3%,
TAUPO DISTRICT,TAUPO DISTRICT COUNCIL,MANGAKINO-POUAKANI,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,1,0,3,3.00,"1,457",633,0,0.0%,,,0,0.0%,0,,0,0.0%,0,0.0%,"1,438",19,1.30%,"1,457",2610,55.8%,"1,438",19,"1,457",620,43.1%,13,68.4%,633,43.4%,7,1.1%,1,7.7%,8,1.3%,7,100.0%,1,100.0%,8,100.0%,2,0.3%,17,2.7%,19,3.0%,1,33.3%,1,100.0%,
TAUPO DISTRICT,TAUPO DISTRICT COUNCIL,TAUPO-KAINGAROA,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,7,0,16,2.29,"2,626","1,463",6,37.5%,,,2,28.6%,2,,0,0.0%,0,0.0%,"17,935",445,2.42%,"18,380",26200,70.2%,"17,935",445,"18,380","9,881",55.1%,358,80.4%,"10,239",55.7%,121,1.2%,16,4.5%,137,1.3%,108,89.3%,14,87.5%,122,89.1%,29,0.3%,202,2.0%,231,2.3%,6,37.5%,2,28.6%,
TAUPO DISTRICT,TAUPO DISTRICT COUNCIL,TURANGI-TONGARIRO,DC,FPP,n,Waikato,Provincial,District,,Y,1.00 pm,11th October 7.00 am,Pseudo-random,N/A,N/A,"23,296",328,58,Contested,2,0,5,2.50,"1,730",950,2,40.0%,,,1,50.0%,1,,3,60.0%,1,50.0%,"3,081",378,10.93%,"3,459",4810,71.9%,"3,081",378,"3,459","1,599",51.9%,300,79.4%,"1,899",54.9%,22,1.4%,4,1.3%,26,1.4%,19,86.4%,3,75.0%,22,84.6%,1,0.1%,63,3.3%,64,3.4%,0,0.0%,0,0.0%,
TAUPO DISTRICT,TAUPO DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,1,0,4,4.00,"23,296","12,771",1,25.0%,1,Re-elected,1,100.0%,1,,,,,,"22,454",842,3.61%,"23,296",33620,69.3%,"22,454",842,"23,296","12,100",53.9%,671,79.7%,"12,771",54.8%,150,1.2%,21,3.1%,171,1.3%,134,89.3%,18,85.7%,152,88.9%,12,0.1%,144,1.1%,156,1.2%,1,25.0%,0,0.0%,
TAURANGA CITY,TAURANGA CITY COUNCIL,MOUNT MAUNGANUI-PAPAMOA,CC,FPP,n,Bay of Plenty,Metro,City,l,,,,,,,,,,Contested,2,0,4,2.00,"14,190","5,859",2,50.0%,,,2,100.0%,2,,,,,,"28,317",62,0.22%,"28,379",39900,71.1%,"28,317",62,"28,379","11,664",41.2%,54,87.1%,"11,718",41.3%,65,0.6%,16,29.6%,81,0.7%,64,98.5%,14,87.5%,78,96.3%,8,0.1%,413,3.5%,421,3.6%,0,0.0%,0,0.0%,
TAURANGA CITY,TAURANGA CITY COUNCIL,OTUMOETAI-PYES PA,CC,FPP,n,Bay of Plenty,Metro,City,l,,,,,,,,,,Contested,2,0,10,5.00,"13,398","6,341",2,20.0%,,,1,50.0%,1,,,,,,"26,773",23,0.09%,"26,796",36300,73.8%,"26,773",23,"26,796","12,664",47.3%,17,73.9%,"12,681",47.3%,89,0.7%,5,29.4%,94,0.7%,89,100.0%,5,100.0%,94,100.0%,60,0.5%,601,4.7%,661,5.2%,2,20.0%,1,50.0%,
TAURANGA CITY,TAURANGA CITY COUNCIL,TAURANGA CITY AT LARGE,CC,FPP,n,Bay of Plenty,Metro,City,l,,,,,,,,,,Contested,4,0,21,5.25,"20,082","8,790",3,14.3%,,,3,75.0%,3,,,,,,"80,216",112,0.14%,"80,328",112600,71.3%,"80,216",112,"80,328","35,062",43.7%,96,85.7%,"35,158",43.8%,234,0.7%,24,25.0%,258,0.7%,232,99.1%,22,91.7%,254,98.4%,334,0.9%,676,1.9%,"1,010",2.9%,6,28.6%,0,0.0%,
TAURANGA CITY,TAURANGA CITY COUNCIL,TE PAPA-WELCOME BAY,CC,FPP,n,Bay of Plenty,Metro,City,l,Y,1.00 pm,10th October 4.00 pm,Random,N/A,N/A,"80,353","1,009",172,Contested,2,0,9,4.50,"12,577","5,380",2,22.2%,,,1,50.0%,1,,,,,,"25,126",27,0.11%,"25,153",36400,69.1%,"25,126",27,"25,153","10,734",42.7%,25,92.6%,"10,759",42.8%,80,0.7%,3,12.0%,83,0.8%,79,98.8%,3,100.0%,82,98.8%,58,0.5%,556,5.2%,614,5.7%,1,11.1%,0,0.0%,
TAURANGA CITY,TAURANGA CITY COUNCIL,AT LARGE,MAYOR,FPP,n,Bay of Plenty,Metro,City,l,,,,,,,,,,Contested,1,0,6,6.00,"80,328","35,158",3,50.0%,4,Re-elected,1,100.0%,1,,,,,,"80,216",112,0.14%,"80,328",112600,71.3%,"80,216",112,"80,328","35,062",43.7%,96,85.7%,"35,158",43.8%,234,0.7%,24,25.0%,258,0.7%,232,99.1%,22,91.7%,254,98.4%,89,0.3%,799,2.3%,888,2.5%,0,0.0%,0,0.0%,
THAMES-COROMANDEL DISTRICT,COROMANDEL-COLVILLE COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,4,0,9,2.25,545,332,,,,,,,,,2,22.2%,2,50.0%,"2,092",86,3.95%,"2,178",3000,72.6%,"2,092",86,"2,178","1,251",59.8%,77,89.5%,"1,328",61.0%,15,1.2%,11,14.3%,26,2.0%,4,26.7%,9,81.8%,13,50.0%,1,0.1%,25,1.9%,26,2.0%,3,33.3%,2,50.0%,
THAMES-COROMANDEL DISTRICT,MERCURY BAY COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,4,4,4,1.00,"1,468",,,,,,,,,,3,75.0%,3,75.0%,"5,312",561,9.55%,"5,873",7150,82.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,75.0%,3,75.0%,
THAMES-COROMANDEL DISTRICT,TAIRUA-PAUANUI COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,4,0,5,1.25,566,381,,,,,,,,,2,40.0%,2,50.0%,"1,898",364,16.09%,"2,262",2210,102.4%,"1,898",364,"2,262","1,194",62.9%,330,90.7%,"1,524",67.4%,15,1.3%,29,8.8%,44,2.9%,13,86.7%,25,86.2%,38,86.4%,1,0.1%,60,3.9%,61,4.0%,1,20.0%,1,25.0%,
THAMES-COROMANDEL DISTRICT,THAMES COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,4,0,10,2.50,"1,955","1,142",,,,,,,,,2,20.0%,1,25.0%,"7,763",57,0.73%,"7,820",10450,74.8%,"7,763",57,"7,820","4,512",58.1%,56,98.2%,"4,568",58.4%,30,0.7%,48,85.7%,78,1.7%,25,83.3%,13,27.1%,38,48.7%,9,0.2%,190,4.2%,199,4.4%,1,10.0%,0,0.0%,
THAMES-COROMANDEL DISTRICT,WHANGAMATA COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,4,0,6,1.50,887,502,,,,,,,,,3,50.0%,3,75.0%,"3,199",348,9.81%,"3,547",3970,89.3%,"3,199",348,"3,547","1,689",52.8%,317,91.1%,"2,006",56.6%,14,0.8%,20,6.3%,34,1.7%,1,7.1%,10,50.0%,11,32.4%,0,0.0%,47,2.3%,47,2.3%,2,33.3%,2,50.0%,
THAMES-COROMANDEL DISTRICT,THAMES-COROMANDEL DISTRICT COUNCIL,COROMANDEL-COLVILLE,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,1,0,4,4.00,"2,178","1,328",0,0.0%,,,0,0.0%,0,,1,25.0%,0,0.0%,"2,092",86,3.95%,"2,178",3000,72.6%,"2,092",86,"2,178","1,251",59.8%,77,89.5%,"1,328",61.0%,15,1.2%,11,14.3%,26,2.0%,4,26.7%,9,81.8%,13,50.0%,1,0.1%,25,1.9%,26,2.0%,1,25.0%,0,0.0%,
THAMES-COROMANDEL DISTRICT,THAMES-COROMANDEL DISTRICT COUNCIL,MERCURY BAY,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,2,0,5,2.50,"2,937","1,916",1,20.0%,,,0,0.0%,0,,2,40.0%,1,50.0%,"5,312",561,9.55%,"5,873",7150,82.1%,"5,312",561,"5,873","3,334",62.8%,498,88.8%,"3,832",65.2%,43,1.3%,56,11.2%,99,2.6%,20,46.5%,20,35.7%,40,40.4%,5,0.1%,82,2.1%,87,2.3%,2,40.0%,0,0.0%,
THAMES-COROMANDEL DISTRICT,THAMES-COROMANDEL DISTRICT COUNCIL,SOUTH EASTERN,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,2,0,5,2.50,"2,905","1,765",1,20.0%,,,1,50.0%,1,,2,40.0%,1,50.0%,"5,097",712,12.26%,"5,809",6180,94.0%,"5,097",712,"5,809","2,883",56.6%,647,90.9%,"3,530",60.8%,29,1.0%,49,7.6%,78,2.2%,5,17.2%,35,71.4%,40,51.3%,11,0.3%,211,6.0%,222,6.3%,2,40.0%,0,0.0%,
THAMES-COROMANDEL DISTRICT,THAMES-COROMANDEL DISTRICT COUNCIL,THAMES,DC,FPP,n,Waikato,Provincial,District,,Y,12.17 pm,10.02 pm,Alphabetical,N/A,N/A,"21,680",205,5,Contested,3,0,9,3.00,"2,607","1,523",1,11.1%,,,0,0.0%,0,,0,0.0%,0,0.0%,"7,763",57,0.73%,"7,820",10450,74.8%,"7,763",57,"7,820","4,512",58.1%,56,98.2%,"4,568",58.4%,30,0.7%,48,85.7%,78,1.7%,25,83.3%,13,27.1%,38,48.7%,23,0.5%,143,3.1%,166,3.6%,3,33.3%,1,33.3%,
THAMES-COROMANDEL DISTRICT,THAMES-COROMANDEL DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,1,0,5,5.00,"21,680","13,258",3,60.0%,1,Defeated,0,0.0%,0,,,,,,"20,264","1,416",6.53%,"21,680",26780,81.0%,"20,264","1,416","21,680","11,980",59.1%,"1,278",90.3%,"13,258",61.2%,117,1.0%,164,12.8%,281,2.1%,54,46.2%,77,47.0%,131,46.6%,12,0.1%,191,1.4%,203,1.5%,1,20.0%,0,0.0%,
TIMARU DISTRICT,GERALDINE COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Unopposed,6,6,6,1.00,658,,,,,,,,,,4,66.7%,4,66.7%,"3,938",12,0.30%,"3,950",5070,77.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33.3%,2,33.3%,
TIMARU DISTRICT,PLEASANT POINT COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,5,0,6,1.20,410,231,,,,,,,,,4,66.7%,3,60.0%,"2,051",0,0.00%,"2,051",2760,74.3%,"2,051",0,"2,051","1,156",56.4%,0,,"1,156",56.4%,3,0.3%,0,,3,0.3%,3,100.0%,0,,3,100.0%,1,0.1%,30,2.6%,31,2.7%,2,33.3%,2,40.0%,
TIMARU DISTRICT,TEMUKA COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Unopposed,4,4,4,1.00,"1,136",,,,,,,,,,3,75.0%,3,75.0%,"4,539",5,0.11%,"4,544",6180,73.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.0%,2,50.0%,
TIMARU DISTRICT,TIMARU DISTRICT COUNCIL,GERALDINE,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"3,950",,1,100.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"3,938",12,0.30%,"3,950",5070,77.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
TIMARU DISTRICT,TIMARU DISTRICT COUNCIL,PLEASANT POINT-TEMUKA,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Unopposed,2,2,2,1.00,"3,297",,2,100.0%,,,2,100.0%,2,,0,0.0%,0,0.0%,"6,590",3,0.05%,"6,593",8950,73.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
TIMARU DISTRICT,TIMARU DISTRICT COUNCIL,TIMARU,DC,FPP,s,Canterbury,Provincial,District,,Y,3.00 pm,10th October 6.00 pm,Alphabetical,N/A,N/A,"33,278",300,41,Contested,7,0,19,2.71,"3,248","1,930",6,31.6%,,,2,28.6%,2,,0,0.0%,0,0.0%,"22,727",6,0.03%,"22,733",30100,75.5%,"22,727",6,"22,733","13,507",59.4%,5,83.3%,"13,512",59.4%,85,0.6%,4,80.0%,89,0.7%,83,97.6%,4,100.0%,87,97.8%,101,0.7%,66,0.5%,167,1.2%,4,21.1%,3,42.9%,
TIMARU DISTRICT,GERALDINE LICENSING TRUST,AT LARGE,LT,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,6,0,7,1.17,746,378,,,,,,,,,5,71.4%,5,83.3%,"4,474",,,"4,474",,,"4,474",,"4,474","2,270",50.7%,,,"2,270",50.7%,2,0.1%,,,2,0.1%,2,100.0%,,,2,100.0%,2,0.1%,127,5.6%,129,5.7%,2,28.6%,1,16.7%,
TIMARU DISTRICT,TIMARU DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,1,0,5,5.00,"33,276","18,813",2,40.0%,2,Re-elected,1,100.0%,1,,,,,,"33,255",21,0.06%,"33,276",44120,75.4%,"33,255",21,"33,276","18,796",56.5%,17,81.0%,"18,813",56.5%,99,0.5%,4,23.5%,103,0.5%,97,98.0%,4,100.0%,101,98.1%,36,0.2%,253,1.3%,289,1.5%,2,40.0%,1,100.0%,
UPPER HUTT CITY,UPPER HUTT CITY COUNCIL,AT LARGE,CC,FPP,n,Wellington,Metro,City,s,Y,2.10 pm,Weren't announced ,Alphabetical,N/A,N/A,"28,605",N/A,3,Contested,10,0,23,2.30,"3,328","1,268",9,39.1%,,,6,60.0%,7,72.7%,,,,,"33,255",21,0.06%,"33,276",40600,70.5%,"33,255",21,"33,276","12,668",38.1%,16,76.2%,"12,684",38.1%,110,0.9%,5,31.3%,115,0.9%,98,89.1%,5,100.0%,103,89.6%,66,0.5%,179,1.4%,245,1.9%,8,34.8%,4,40.0%,
UPPER HUTT CITY,RIMUTAKA LICENSING TRUST,AT LARGE,LT,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,6,0,7,1.17,"1,518",686,,,,,,,,,5,71.4%,5,83.3%,"9,106",,,"9,106",,,"9,106",,"9,106","4,114",45.2%,,,"4,114",45.2%,33,0.8%,,,33,0.8%,31,93.9%,,,31,93.9%,1,0.0%,320,7.8%,321,7.8%,1,14.3%,1,16.7%,
UPPER HUTT CITY,UPPER HUTT CITY COUNCIL,AT LARGE,MAYOR,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,1,0,3,3.00,"28,605","12,684",1,33.3%,2,Re-elected,1,100.0%,1,,,,,,"28,587",18,0.06%,"28,605",40600,70.5%,"28,587",18,"28,605","12,668",44.3%,16,88.9%,"12,684",44.3%,110,0.9%,5,31.3%,115,0.9%,98,89.1%,5,100.0%,103,89.6%,10,0.1%,193,1.5%,203,1.6%,1,33.3%,0,0.0%,
WAIKATO DHB,WAIKATO DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Waikato,DHB,DHB,,Y,5.06 pm,10th October 5.04 pm,Random,,,,,,Contested,7,0,31,4.43,"34,424","13,844",,,,,,,,,6,19.4%,3,42.9%,"240,969",,,"240,969",360000,66.9%,"240,969",,"240,969","96,910",40.2%,,,"96,910",40.2%,846,0.9%,,,846,0.9%,715,84.5%,,,715,84.5%,"5,236",5.4%,"4,280",4.4%,"9,516",9.8%,10,32.3%,2,28.6%,
WAIKATO DISTRICT,HUNTLY COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,6,0,9,1.50,731,294,,,,,,,,,5,55.6%,4,66.7%,"4,385",1,0.02%,"4,386",7100,61.8%,"4,385",1,"4,386","1,761",40.2%,1,100.0%,"1,762",40.2%,18,1.0%,0,0.0%,18,1.0%,13,72.2%,0,,13,72.2%,1,0.1%,29,1.6%,30,1.7%,4,44.4%,2,33.3%,
WAIKATO DISTRICT,NGARUAWAHIA COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,6,0,8,1.33,706,230,,,,,,,,,6,75.0%,4,66.7%,"4,234",1,0.02%,"4,235",6870,61.6%,"4,234",1,"4,235","1,379",32.6%,1,100.0%,"1,380",32.6%,10,0.7%,0,0.0%,10,0.7%,9,90.0%,0,,9,90.0%,1,0.1%,25,1.8%,26,1.9%,5,62.5%,5,83.3%,
WAIKATO DISTRICT,ONEWHERO-TUAKAU COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,6,0,7,1.17,920,273,,,,,,,,,3,42.9%,3,50.0%,"5,502",19,0.34%,"5,521",8980,61.5%,"5,502",19,"5,521","1,620",29.4%,16,84.2%,"1,636",29.6%,11,0.7%,1,6.3%,12,0.7%,8,72.7%,0,0.0%,8,66.7%,0,0.0%,48,2.9%,48,2.9%,4,57.1%,4,66.7%,
WAIKATO DISTRICT,RAGLAN COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,6,0,7,1.17,368,159,,,,,,,,,0,0.0%,0,0.0%,"2,188",18,0.82%,"2,206",3290,67.1%,"2,188",18,"2,206",935,42.7%,16,88.9%,951,43.1%,13,1.4%,0,0.0%,13,1.4%,12,92.3%,0,,12,92.3%,0,0.0%,42,4.4%,42,4.4%,2,28.6%,1,16.7%,
WAIKATO DISTRICT,TAUPIRI COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,6,2,2,0.33,51,,,,,,,,,,0,0.0%,0,0.0%,305,1,0.33%,306,460,66.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.0%,1,16.7%,4
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,AWAROA KI TUAKAU,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,2,0,5,2.50,"3,100",912,3,60.0%,,,2,100.0%,2,,0,0.0%,0,0.0%,"6,196",4,0.06%,"6,200",9890,62.7%,"6,196",4,"6,200","1,820",29.4%,4,100.0%,"1,824",29.4%,11,0.6%,1,25.0%,12,0.7%,8,72.7%,0,0.0%,8,66.7%,5,0.3%,30,1.6%,35,1.9%,0,0.0%,0,0.0%,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,EUREKA,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"3,354",,0,0.0%,,,0,0.0%,0,,0,0.0%,0,0.0%,"3,351",3,0.09%,"3,354",4770,70.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,HUKANUI-WAERENGA,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,1,0,2,2.00,"2,747",787,1,50.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"2,744",3,0.11%,"2,747",4580,60.0%,"2,744",3,"2,747",784,28.6%,3,100.0%,787,28.6%,2,0.3%,0,0.0%,2,0.3%,2,100.0%,0,,2,100.0%,1,0.1%,27,3.4%,28,3.6%,0,0.0%,0,0.0%,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,HUNTLY,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,2,0,6,3.00,"2,621","1,046",1,16.7%,,,1,50.0%,1,,1,16.7%,1,50.0%,"5,237",4,0.08%,"5,241",8430,62.2%,"5,237",4,"5,241","2,088",39.9%,4,100.0%,"2,092",39.9%,18,0.9%,0,0.0%,18,0.9%,13,72.2%,0,,13,72.2%,17,0.8%,41,2.0%,58,2.8%,3,50.0%,1,50.0%,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,NEWCASTLE,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"2,977",,1,100.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"2,975",2,0.07%,"2,977",4110,72.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,NGARUAWAHIA,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,2,0,5,2.50,"2,777",906,2,40.0%,,,2,100.0%,2,,1,20.0%,0,0.0%,"5,549",4,0.07%,"5,553",8900,62.4%,"5,549",4,"5,553","1,809",32.6%,3,75.0%,"1,812",32.6%,10,0.6%,0,0.0%,10,0.6%,9,90.0%,0,,9,90.0%,2,0.1%,32,1.8%,34,1.9%,2,40.0%,1,50.0%,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,ONEWHERO,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"2,578",,1,100.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"2,562",16,0.62%,"2,578",4040,63.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,RAGLAN,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,1,0,4,4.00,"2,831","1,193",1,25.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"2,813",18,0.64%,"2,831",4190,67.6%,"2,813",18,"2,831","1,177",41.8%,16,88.9%,"1,193",42.1%,13,1.1%,0,0.0%,13,1.1%,12,92.3%,0,,12,92.3%,2,0.2%,9,0.8%,11,0.9%,0,0.0%,0,0.0%,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,TAMAHERE,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"3,366",,1,100.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"3,363",3,0.09%,"3,366",4480,75.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,WHAINGAROA,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,1,0,3,3.00,"2,643",892,1,33.3%,,,1,100.0%,1,,0,0.0%,0,0.0%,"2,633",10,0.38%,"2,643",4140,63.8%,"2,633",10,"2,643",882,33.5%,10,100.0%,892,33.7%,0,0.0%,1,10.0%,1,0.1%,0,,1,100.0%,1,100.0%,0,0.0%,46,5.2%,46,5.2%,0,0.0%,0,0.0%,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,WHANGAMARINO,DC,FPP,n,Waikato,Provincial,District,,Y,1.00 pm,3.00 pm,Alphabetical,N/A,N/A,"40,444",415,15,Contested,1,0,2,2.00,"2,954","1,061",1,50.0%,,,0,0.0%,0,,0,0.0%,0,0.0%,"2,944",10,0.34%,"2,954",5240,56.4%,"2,944",10,"2,954","1,053",35.8%,8,80.0%,"1,061",35.9%,5,0.5%,2,25.0%,7,0.7%,4,80.0%,2,100.0%,6,85.7%,0,0.0%,12,1.1%,12,1.1%,1,50.0%,1,100.0%,
WAIKATO DISTRICT,TE KAUWHATA LICENSING TRUST,AT LARGE,LT,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,6,6,6,1.00,287,,,,,,,,,,2,33.3%,2,33.3%,"1,721",,,"1,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,1,0,3,3.00,"40,444","13,116",2,66.7%,1,Stood down,0,0.0%,1,,,,,,"40,367",77,0.19%,"40,444",62770,64.4%,"40,367",77,"40,444","13,050",32.3%,66,85.7%,"13,116",32.4%,70,0.5%,6,9.1%,76,0.6%,59,84.3%,5,83.3%,64,84.2%,11,0.1%,584,4.5%,595,4.5%,0,0.0%,0,0.0%,
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,CENTRAL WAIKATO,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,Contested,1,0,4,4.00,"23,474","7,938",0,0.0%,,,0,0.0%,,,,,,,"23,433",41,0.17%,"23,474",36000,65.2%,"23,433",41,"23,474","7,904",33.7%,34,82.9%,"7,938",33.8%,45,0.6%,1,2.9%,46,0.6%,38,84.4%,1,100.0%,39,84.8%,40,0.5%,730,9.2%,770,9.7%,2,50.0%,1,100.0%,
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,HAMILTON,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,Contested,4,0,8,2.00,"23,991","9,000",4,50.0%,,,3,75.0%,,,,,,,"95,879",86,0.09%,"95,965",145200,66.1%,"95,879",86,"95,965","35,904",37.4%,96,111.6%,"36,000",37.5%,324,0.9%,44,45.8%,368,1.0%,237,73.1%,19,43.2%,256,69.6%,101,0.3%,"2,748",7.6%,"2,849",7.9%,5,62.5%,3,75.0%,
