Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results issued,Progress results time,Preliminary results announced,Voting papers order,Other elections were:,Poles were:,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable contested position,"Candidates Council sitting members 
(N)","Candidates Council sitting members 
(%)","Also candidates for Council
(N)",Sitting Mayor,Mayor/ Council members re-elected (N),"Mayor/ Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates (community) board members 
(N)","Candidates (community) board members 
(%)","(Community) board members elected 
(N)","(Community) board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Population resident 2013,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout 
(%)","Total voters 
(N)",Overall turnout (%),"Residential special votes cast 
(N)","Residential special votes cast 
(%)","Ratepayer special votes cast 
(N)","Ratepayer special votes cast 
(%)","Total special votes cast 
(N)","Total special votes cast 
(%)","Residential special votes allowed 
(N)","Residential special votes allowed 
(%)","Ratepayer special votes allowed 
(N)","Ratepayer special votes allowed 
(%)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women elected
(N)","Women elected
(%)",Unfilled positions
THAMES-COROMANDEL DISTRICT,COROMANDEL-COLVILLE COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,4,,9,2.25,554,288,,,,,,,,,3,33.30%,3,75.00%,"2,127",87,3.93%,"2,214","7,173",30.90%,"2,127",87,"2,214","1,082",50.90%,69,79.30%,"1,151",52.00%,9,0.80%,,,9,0.80%,7,77.80%,,,7,77.80%,4,0.30%,6,0.50%,10,0.90%,5,55.60%,2,50.00%,
THAMES-COROMANDEL DISTRICT,MERCURY BAY COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,4,,7,1.75,"1,510",710,,,,,,,,,1,14.30%,1,25.00%,"5,469",570,9.44%,"6,039","6,144",98.30%,"5,469",570,"6,039","2,356",43.10%,482,84.60%,"2,838",47.00%,10,0.40%,16,3.30%,26,0.90%,7,70.00%,14,87.50%,21,80.80%,3,0.10%,84,3.00%,87,3.10%,3,42.90%,1,25.00%,
THAMES-COROMANDEL DISTRICT,TAIRUA-PAUANUI COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,4,,6,1.5,563,335,,,,,,,,,3,50.00%,2,50.00%,"1,883",370,16.42%,"2,253","2,330",96.70%,"1,883",370,"2,253","1,035",55.00%,303,81.90%,"1,338",59.40%,8,0.80%,7,2.30%,15,1.10%,6,75.00%,5,71.40%,11,73.30%,1,0.10%,10,0.70%,11,0.80%,3,50.00%,3,75.00%,
THAMES-COROMANDEL DISTRICT,THAMES COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,4,,7,1.75,"1,976",901,,,,,,,,,2,28.60%,2,50.00%,"7,849",55,0.70%,"7,904","26,178",30.20%,"7,849",55,"7,904","3,556",45.30%,48,87.30%,"3,604",45.60%,26,0.70%,1,2.10%,27,0.70%,23,88.50%,,,23,85.20%,7,0.20%,96,2.70%,103,2.90%,0,,,,
THAMES-COROMANDEL DISTRICT,WHANGAMATA COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,4,,5,1.25,894,416,,,,,,,,,2,40.00%,2,50.00%,"3,245",330,9.23%,"3,575","4,040",88.50%,"3,245",330,"3,575","1,388",42.80%,276,83.60%,"1,664",46.50%,4,0.30%,6,2.20%,10,0.60%,4,100.00%,5,83.30%,9,90.00%,,,68,4.10%,68,4.10%,0,,,,
THAMES-COROMANDEL DISTRICT,THAMES-COROMANDEL DISTRICT COUNCIL,COROMANDEL-COLVILLE,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1,"2,212",,1,100.00%,,,1,100.00%,1,,,,,,"2,127",85,3.84%,"2,212","2,817",78.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
THAMES-COROMANDEL DISTRICT,THAMES-COROMANDEL DISTRICT COUNCIL,MERCURY BAY,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,2,2,2,1,"3,020",,2,100.00%,,,2,100.00%,2,,,,,,"5,469",570,9.44%,"6,039","7,173",84.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
THAMES-COROMANDEL DISTRICT,THAMES-COROMANDEL DISTRICT COUNCIL,SOUTH EASTERN,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,2,,3,1.5,"2,911","1,499",2,66.70%,,,2,100.00%,2,,1,33.30%,,,"5,128",694,11.92%,"5,822","6,144",94.80%,"5,128",694,"5,822","2,423",47.30%,574,82.70%,"2,997",51.50%,12,0.50%,12,2.10%,24,0.80%,10,83.30%,9,75.00%,19,79.20%,,,180,6.00%,180,6.00%,2,66.70%,1,50.00%,
THAMES-COROMANDEL DISTRICT,THAMES-COROMANDEL DISTRICT COUNCIL,THAMES,DC,FPP,n,Waikato,Provincial,District,,Y,1.00 pm,8.06 pm Election Day,Alphabetical,N/A,N/A,"21,985",199,56,Contested,3,,5,1.67,"2,634","1,201",2,40.00%,,,2,66.70%,2,,,,,,"7,849",54,0.68%,"7,903","10,044",78.70%,"7,849",54,"7,903","3,556",45.30%,48,88.90%,"3,604",45.60%,26,0.70%,1,2.10%,27,0.70%,23,88.50%,,,23,85.20%,5,0.10%,45,1.20%,50,1.40%,2,40.00%,2,66.70%,
THAMES-COROMANDEL DISTRICT,THAMES-COROMANDEL DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,1,,2,2,"21,971","10,585",0,,,Re-elected,1,100.00%,1,,,,,,"20,573","1,398",6.36%,"21,971","26,178",83.90%,"20,573","1,398","21,971","9,417",45.80%,"1,168",83.50%,"10,585",48.20%,57,0.60%,29,2.50%,86,0.80%,47,82.50%,23,79.30%,70,81.40%,4,0.00%,460,4.30%,464,4.40%,0,,,,
TIMARU DISTRICT,GERALDINE COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,6,,8,1.33,681,326,,,,,,,,,1,12.50%,1,16.70%,"4,079",8,0.20%,"4,087","29,625",13.80%,"4,079",8,"4,087","1,951",47.80%,7,87.50%,"1,958",47.90%,2,0.10%,,,2,0.10%,1,50.00%,,,1,50.00%,,,43,2.20%,43,2.20%,1,12.50%,1,16.70%,
TIMARU DISTRICT,PLEASANT POINT COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,5,5,5,1,425,,,,,,,,,,5,100.00%,5,100.00%,"2,126",,,"2,126","2,920",72.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,40.00%,2,40.00%,
TIMARU DISTRICT,TEMUKA COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,5,,8,1.6,922,456,,,,,,,,,4,50.00%,3,60.00%,"4,606",2,0.04%,"4,608","6,340",72.70%,"4,606",2,"4,608","2,279",49.50%,2,100.00%,"2,281",49.50%,16,0.70%,,,16,0.70%,14,87.50%,,,14,87.50%,5,0.20%,46,2.00%,51,2.20%,2,25.00%,2,40.00%,
TIMARU DISTRICT,TIMARU DISTRICT COUNCIL,GERALDINE,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1,"4,087",,1,100.00%,,,1,100.00%,1,,,,,,"4,079",8,0.20%,"4,087","5,343",76.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
TIMARU DISTRICT,TIMARU DISTRICT COUNCIL,PLEASANT POINT-TEMUKA,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,2,,4,2,"3,367","1,685",2,50.00%,,,2,100.00%,2,,,,,,"6,732",1,0.01%,"6,733","8,964",75.10%,"6,732",1,"6,733","3,369",50.00%,1,100.00%,"3,370",50.10%,26,0.80%,,,26,0.80%,23,88.50%,,,23,88.50%,4,0.10%,87,2.60%,91,2.70%,1,25.00%,0,,
TIMARU DISTRICT,TIMARU DISTRICT COUNCIL,TIMARU,DC,FPP,s,Canterbury,Provincial,District,,Y,2.50 pm,13th October 7.17 pm,Random,N/A,N/A,"33,707",317,42,Contested,6,,11,1.83,"3,814","1,986",3,27.30%,,,2,33.30%,2,,,,,,"22,877",9,0.04%,"22,886","29,625",77.30%,"22,877",9,"22,886","11,906",52.00%,8,88.90%,"11,914",52.10%,62,0.50%,,,62,0.50%,54,87.10%,,,54,87.10%,102,0.90%,126,1.10%,228,1.90%,2,18.20%,1,16.70%,
TIMARU DISTRICT,GERALDINE LICENSING TRUST,AT LARGE,LT,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,6,,9,1.5,770,367,,,,,,,,,3,33.30%,2,33.30%,"4,619",,,"4,619","43,932",,"4,619",,"4,619","2,200",47.60%,,,"2,200",47.60%,3,0.10%,,,3,0.10%,2,66.70%,,,2,66.70%,6,0.30%,108,4.90%,114,5.20%,2,22.20%,1,16.70%,
TIMARU DISTRICT,TIMARU DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,1,,2,2,"33,706","17,242",2,100.00%,2,Stood down,,,,,2,100.00%,1,100.00%,"33,688",18,0.05%,"33,706","43,932",76.70%,"33,688",18,"33,706","17,226",51.10%,16,88.90%,"17,242",51.20%,90,0.50%,,,90,0.50%,78,86.70%,,,78,86.70%,13,0.10%,556,3.20%,569,3.30%,0,,,,
UPPER HUTT CITY,UPPER HUTT CITY COUNCIL,AT LARGE,CC,FPP,n,Wellington,Metro,City,s,Y,12.58 pm,12th October 4.29 pm,Alphabetical,N/A,N/A,"28,963",339,38,Contested,10,,27,2.7,"3,371","1,181",7,25.90%,,,6,60.00%,6,54.50%,,,,,"33,688",18,0.05%,"33,706","43,932",76.70%,"33,688",18,"33,706","11,796",35.00%,16,88.90%,"11,812",35.00%,154,1.30%,1,6.30%,155,1.30%,123,79.90%,1,100.00%,124,80.00%,91,0.80%,128,1.10%,219,1.90%,7,25.90%,3,30.00%,
UPPER HUTT CITY,RIMUTAKA LICENSING TRUST,AT LARGE,LT,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,6,,7,1.17,"1,659",652,,,,,,,,,5,71.40%,4,66.70%,"9,956",,,"9,956",,,"9,956",,"9,956","3,909",39.30%,,,"3,909",39.30%,53,1.40%,,,53,1.40%,44,83.00%,,,44,83.00%,1,0.00%,297,7.60%,298,7.60%,1,14.30%,1,16.70%,
UPPER HUTT CITY,UPPER HUTT CITY COUNCIL,AT LARGE,MAYOR,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,1,,3,3,"28,963","11,812",1,33.30%,2,Re-elected,1,100.00%,1,,,,,,"28,942",21,0.07%,"28,963","40,179",72.10%,"28,942",21,"28,963","11,796",40.80%,16,76.20%,"11,812",40.80%,154,1.30%,1,6.30%,155,1.30%,123,79.90%,1,100.00%,124,80.00%,7,0.10%,193,1.60%,180,1.50%,1,33.30%,0,,
WAIKATO DHB,WAIKATO DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Waikato,DHB,DHB,,Y,4.15 pm,,Random,,,,,,Contested,7,,20,2.86,"35,520","13,927",,,,,,,,,6,30.00%,6,85.70%,"248,640",,,"248,640","372,500",,"248,640",,"248,640","97,490",39.20%,,,"97,490",39.20%,"1,024",1.10%,,,1024,1.10%,773,75.50%,,,773,75.50%,"6,304",6.50%,"11,743",12.00%,"18,047",18.50%,8,40.00%,3,42.90%,
WAIKATO DISTRICT,HUNTLY COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,6,,9,1.5,767,268,,,,,,,,,5,55.60%,3,50.00%,"4,599",4,0.09%,"4,603","8,337",55.20%,"4,599",4,"4,603","1,604",34.90%,4,100.00%,"1,608",34.90%,7,0.40%,,,7,0.40%,5,71.40%,,,5,71.40%,5,0.30%,12,0.70%,17,1.10%,4,44.40%,4,66.70%,
WAIKATO DISTRICT,NGARUAWAHIA COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,6,6,6,1,733,,,,,,,,,,2,33.30%,2,33.30%,"4,394",3,0.07%,"4,397","8,682",50.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,50.00%,3,50.00%,
WAIKATO DISTRICT,ONEWHERO-TUAKAU COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,6,,11,1.83,978,325,,,,,,,,,4,36.40%,2,33.30%,"5,850",15,0.26%,"5,865","9,530",61.50%,"5,850",15,"5,865","1,933",33.00%,16,106.70%,"1,949",33.20%,9,0.50%,2,12.50%,11,0.60%,5,55.60%,2,100.00%,7,63.60%,6,0.30%,76,3.90%,82,4.20%,6,54.50%,3,50.00%,
WAIKATO DISTRICT,RAGLAN COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,6,6,6,1,431,,,,,,,,,,3,50.00%,3,50.00%,"2,566",18,0.70%,"2,584","4,887",52.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.70%,1,16.70%,
WAIKATO DISTRICT,TAUPIRI COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,6,6,6,1,51,,,,,,,,,,4,66.70%,4,66.70%,307,,,307,450,68.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,50.00%,3,50.00%,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,AWAROA KI TUAKAU,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,2,,3,1.5,"3,423",914,1,33.30%,,,1,50.00%,1,,,,,,"6,844",2,0.03%,"6,846","9,918",69.00%,"6,844",2,"6,846","1,823",26.60%,4,200.00%,"1,827",26.70%,7,0.40%,2,50.00%,9,0.50%,4,57.10%,2,100.00%,6,66.70%,,,63,3.40%,63,3.40%,2,66.70%,1,50.00%,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,EUREKA,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,1,,2,1,"3,434","1,017",1,50.00%,,,1,100.00%,1,,,,,,"3,432",2,0.09%,"3,354","4,941",70.30%,"3,432",2,"3,434","1,015",29.60%,2,100.00%,"1,017",29.60%,8,0.80%,,,8,0.80%,6,75.00%,,,6,75.00%,,,19,1.90%,19,1.90%,0,,,,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,HUKANUI-WAERENGA,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1,"3,250",,1,100.00%,,,1,100.00%,1,,,,,,"3,246",4,0.12%,"3,250","4,524",71.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,HUNTLY,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,2,,3,1.5,"2,937","1,044",2,66.70%,,,2,100.00%,2,,1,33.30%,,,"5,869",5,0.09%,"5,874","8,337",70.50%,"5,869",5,"5,874","2,084",35.50%,4,80.00%,"2,088",35.50%,12,0.60%,,,12,0.60%,8,66.70%,,,8,66.70%,,,40,1.90%,40,1.90%,2,66.70%,1,50.00%,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,NEWCASTLE,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1,"3,560",,1,100.00%,,,1,100.00%,1,,,,,,"3,558",2,0.06%,"3,560","5,622",63.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,NGARUAWAHIA,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,2,,6,3,"2,902",837,1,16.70%,,,1,50.00%,1,,1,16.70%,,,"5,799",4,0.07%,"5,803","8,682",66.80%,"5,799",4,"5,803","1,670",28.80%,4,100.00%,"1,674",28.80%,17,1.00%,,,17,1.00%,15,88.20%,,,15,88.20%,1,0.10%,26,1.60%,27,1.60%,3,50.00%,2,100.00%,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,ONEWHERO-TE AKAU,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,1,,3,3,"3,274","1,322",1,33.30%,,,,,,,,,,,"3,256",18,0.55%,"3,274","5,898",55.50%,"3,256",18,"3,274","1,305",40.10%,17,94.40%,"1,322",40.40%,6,0.50%,1,5.90%,7,0.50%,1,16.70%,1,100.00%,2,28.60%,1,0.10%,48,3.60%,49,3.70%,1,33.30%,1,100.00%,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,RAGLAN,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,1,,2,2,"3,434","1,122",1,50.00%,,,1,100.00%,1,,1,50.00%,,,"3,414",20,0.58%,"3,434","4,887",70.30%,"3,414",20,"3,434","1,104",32.30%,18,90.00%,"1,122",32.70%,11,1.00%,1,5.60%,12,1.10%,10,90.90%,,,10,83.30%,1,0.10%,30,2.70%,31,2.80%,0,,,,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,TAMAHERE,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1,"3,696",,1,100.00%,,,1,100.00%,1,,,,,,"3,692",4,0.11%,"3,696","4,965",74.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,WHANGAMARINO,DC,FPP,n,Waikato,Provincial,District,,Y,1.00 pm,13th October 1.43 am,Alphabetical,N/A,N/A,"42,127",296,79,Unopposed,1,1,1,1,"2,956",,1,100.00%,,,1,100.00%,1,,,,,,"2,948",8,0.27%,"2,956","5,607",52.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,
WAIKATO DISTRICT,TE KAUWHATA LICENSING TRUST,AT LARGE,LT,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,6,5,5,0.83,306,,,,,,,,,,4,80.00%,4,66.70%,"1,836",,,"1,836",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.00%,1,16.70%,1
WAIKATO DISTRICT,WAIKATO DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,1,,5,5,"42,127","12,952",1,20.00%,1,Re-elected,1,100.00%,1,,,,,,"42,058",69,0.16%,"42,127","63,381",66.50%,"42,058",69,"42,127","12,889",30.60%,63,91.30%,"12,952",30.70%,81,0.60%,6,9.50%,87,0.70%,64,79.00%,4,66.70%,68,78.20%,24,0.20%,531,4.10%,555,4.30%,0,,,,
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,WAIKATO,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,Contested,2,,4,2,"18,027","5,767",2,50.00%,,,2,100.00%,,,,,,,36026,28,0.08%,"36,054",,,"36,026",28,"36,054","11,506",31.90%,28,100.00%,"11,534",32.00%,67,0.60%,5,17.90%,72,0.60%,52,77.60%,4,80.00%,56,77.80%,6,0.10%,847,7.30%,853,7.40%,1,25.00%,1,50.00%,
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,HAMILTON,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,Contested,4,,9,2.25,"21,461","8,784",4,44.40%,,,3,75.00%,,,,,,,"85,815",30,0.03%,"85,845",,,"85,815",30,"85,845","35,109",40.90%,26,86.70%,"35,135",40.90%,467,1.30%,3,11.50%,470,1.30%,317,67.90%,3,100.00%,320,68.10%,74,0.20%,"2,748",7.80%,"2,822",8.00%,5,55.60%,3,75.00%,
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,NGA HAU E WHA,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,Contested,1,,4,4,"17,363","3,436",0,,,,,,,,,,,,"17,363",,,"17,363",,,"17,363",,"17,363","3,436",19.80%,,,"3,436",19.80%,46,1.30%,,,46,1.30%,30,65.20%,,,30,65.20%,47,1.40%,161,4.70%,208,6.10%,2,50.00%,1,100.00%,
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,NGA TAI KI UTA MAORI,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,Contested,1,,5,5,"14,386","3,860",0,,,,,,,,,,,,"14,378",8,0.06%,"14,386",,,"14,378",8,"14,386","3,856",26.80%,4,50.00%,"3,860",26.80%,60,1.60%,7,175.00%,67,1.70%,54,90.00%,5,71.40%,59,88.10%,69,1.80%,455,11.80%,524,13.60%,3,60.00%,0,,
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,WAIHOU,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,Contested,2,,4,2,"19,817","8,853",2,50.00%,,,,,,,,,,,"39,600",33,0.08%,"39,633",,,"39,600",33,"39,633","17,677",44.60%,28,84.80%,"17,705",44.70%,158,0.90%,20,71.40%,178,1.00%,131,82.90%,17,85.00%,148,83.10%,27,0.20%,"1,683",9.50%,"1,710",9.70%,0,,,,
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,TAUPO-ROTORUA,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,Contested,1,,3,3,"21,430","10,819",0,,,,,,,,,,,,"21,040",390,1.82%,"21,430",,,"21,040",390,"21,430","10,538",50.10%,281,72.10%,"10,819",50.50%,133,1.30%,58,20.60%,191,1.80%,109,82.00%,24,41.40%,133,69.60%,25,0.20%,"1,243",11.50%,"1,268",11.70%,2,66.70%,1,100.00%,
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,THAMES-COROMANDEL,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,Contested,1,,4,4,"25,494","11,982",1,25.00%,,,,,,,,,,,"24,538",956,3.75%,"25,494",,,"24,538",956,"25,494","11,186",45.60%,796,83.30%,"11,982",47.00%,71,0.60%,27,3.40%,98,0.80%,55,77.50%,23,85.20%,78,79.60%,59,0.50%,"1,273",10.60%,"1,332",11.10%,1,25.00%,0,,
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,WAIPA-KING COUNTRY,RC,FPP,n,Waikato,Regional,Regional,,Y,4.00 pm,16th Ocotber 11.00 am,Pseudo-random order,N/A,N/A,,,,Contested,2,,5,2.5,"20,037","8,366",2,40.00%,,,1,50.00%,,,,,,,"40,041",32,0.08%,"40,073",,,"40,041",106,"40,147","16,702",41.70%,29,27.40%,"16,731",41.70%,144,0.90%,35,120.70%,179,1.10%,120,83.30%,24,68.60%,144,80.40%,93,0.60%,"1,089",6.50%,"1,182",7.10%,0,,,,
WAIMAKARIRI DISTRICT,KAIAPOI COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,6,,10,1.67,"1,341",480,,,,,,,,,6,60.00%,4,66.70%,"8,042",5,0.06%,"8,047","11,691",68.80%,"8,042",5,"8,047","2,872",35.70%,5,100.00%,"2,877",35.80%,12,0.40%,1,20.00%,13,0.50%,11,91.70%,,,11,84.60%,5,0.20%,18,0.60%,23,0.80%,6,60.00%,4,66.70%,
WAIMAKARIRI DISTRICT,RANGIORA COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,6,,12,2,"1,975",754,,,,,,,,,6,50.00%,5,83.30%,"11,844",5,0.04%,"11,849","10,995",107.80%,"11,844",5,"11,849","4,520",38.20%,4,80.00%,"4,524",38.20%,25,0.60%,3,75.00%,28,0.60%,23,92.00%,1,33.30%,24,85.70%,29,0.60%,43,1.00%,72,1.60%,4,33.30%,3,50.00%,
WAIMAKARIRI DISTRICT,WOODEND-ASHLEY COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,6,,8,1.33,"1,248",362,,,,,,,,,6,75.00%,5,83.30%,"7,478",7,0.09%,"7,485","49,986",15.00%,"7,478",7,"7,485","2,163",28.90%,7,100.00%,"2,170",29.00%,16,0.70%,3,42.90%,19,0.90%,16,100.00%,2,66.70%,18,94.70%,5,0.20%,107,4.90%,112,5.20%,1,12.50%,1,16.70%,
WAIMAKARIRI DISTRICT,WAIMAKARIRI DISTRICT COUNCIL,KAIAPOI,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,3,,6,2,"2,682",959,2,33.30%,,,2,66.70%,2,,2,33.30%,1,33.30%,"8,042",5,0.06%,"8,047","11,067",72.70%,"8,042",5,"8,047","2,872",35.70%,5,100.00%,"2,877",35.80%,12,0.40%,1,20.00%,13,0.50%,11,91.70%,,,11,84.60%,3,0.10%,41,1.40%,44,1.50%,3,50.00%,1,33.30%,
WAIMAKARIRI DISTRICT,WAIMAKARIRI DISTRICT COUNCIL,OXFORD-EYRE,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,2,,3,1.5,"4,060","1,425",2,66.70%,,,1,50.00%,1,,,,,,"8,113",6,0.07%,"8,119","11,691",69.40%,"8,113",6,"8,119","2,845",35.10%,5,83.30%,"2,850",35.10%,8,0.30%,2,40.00%,10,0.40%,8,100.00%,,,8,80.00%,5,0.20%,17,0.60%,22,0.80%,1,33.30%,1,50.00%,
WAIMAKARIRI DISTRICT,WAIMAKARIRI DISTRICT COUNCIL,RANGIORA,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,3,,9,3,"3,950","1,508",3,33.30%,,,3,100.00%,3,,2,22.20%,,,"11,844",5,0.04%,"11,849","16,233",73.00%,"11,844",5,"11,849","4,520",38.20%,4,80.00%,"4,524",38.20%,25,0.60%,3,75.00%,28,0.60%,23,92.00%,1,33.30%,24,85.70%,17,0.40%,13,0.30%,30,0.70%,2,22.20%,0,,
WAIMAKARIRI DISTRICT,WAIMAKARIRI DISTRICT COUNCIL,WOODEND-ASHLEY,DC,FPP,s,Canterbury,Provincial,District,,Y,1.47 pm,13th October 6.40 pm,Random,N/A,N/A,"35,500",286,26,Contested,2,,3,1.5,"3,743","1,085",2,66.70%,,,2,100.00%,2,,1,33.30%,1,50.00%,"7,478",7,0.09%,"7,485","10,995",68.10%,"7,478",7,"7,485","2,163",28.90%,7,100.00%,"2,170",29.00%,16,0.70%,3,42.90%,19,0.90%,16,100.00%,2,66.70%,18,94.70%,1,0.00%,63,2.90%,64,2.90%,1,33.30%,1,50.00%,
WAIMAKARIRI DISTRICT,WAIMAKARIRI DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1,"35,500",,0,,,Re-elected,1,100.00%,1,,,,,,"35,477",23,0.06%,"35,500","49,986",71.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
