Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results,Progress results date,Preliminary results announced,Other elections,Other elections were:,Poles,Poles were:,Voting papers order,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Number of Special votes,Residential Special votes allowed,Ratepayer Special votes allowed,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable position,"Council candidates sitting members 
(N)","Council candidates sitting members 
(%)","Also candidates for Mayor 
(N)",Council member elected Mayor,Sitting Mayor,Council members re-elected (N),"Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates board members 
(N)","Candidates board members 
(%)","Board members elected 
(N)","Board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Estimated population resident,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout
(%)","Total voters 
(N)",Overall turnout (%),"Special votes cast 
(N)","Special votes cast 
(%)","Residential special votes allowed 
(N)","Ratepayer special votes allowed 
(N)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women councillors
(N)","Women councillors
(%)"
CANTERBURY REGION,CANTERBURY REGIONAL COUNCIL,CHRISTCHURCH EAST,RC,FPP,s,Canterbury,Regional,Regional,,,,,,,,,,,,,,,,,2,0,6,3.00,"28,412","11,083",2,33.3%,,,,0,0.0%,,,,,,,"56,804",19,0.03%,"56,823","84,200",67.5%,"56,804",19,"56,823","22,150",39.0%,16,84.2%,"22,166",39.0%,173,,,,173,,23,0.1%,2036,9.2%,"2,059",9.3%,2,33.3%,0,0.0%
CANTERBURY REGION,CANTERBURY REGIONAL COUNCIL,CHRISTCHURCH NORTH,RC,FPP,s,Canterbury,Regional,Regional,,,,,,,,,,,,,,,,,2,0,8,4.00,"28,089","11,188",1,12.5%,,,,0,0.0%,,,,,,,"56,165",13,0.02%,"56,178","83,300",67.4%,"56,165",13,"56,178","22,363",39.8%,12,92.3%,"22,375",39.8%,145,,,,145,,72,0.3%,1837,8.2%,"1,909",8.5%,5,62.5%,2,100.0%
CANTERBURY REGION,CANTERBURY REGIONAL COUNCIL,CHRISTCHURCH SOUTH,RC,FPP,s,Canterbury,Regional,Regional,,,,,,,,,,,,,,,,,2,0,5,2.50,"29,802","12,803",2,40.0%,,,,2,100.0%,,,,,,,"59,588",16,0.03%,"59,604","85,000",70.1%,"59,588",16,"59,604","25,593",42.9%,13,81.3%,"25,606",43.0%,161,,,,161,,13,0.1%,2401,9.4%,"2,414",9.4%,1,20.0%,0,0.0%
CANTERBURY REGION,CANTERBURY REGIONAL COUNCIL,CHRISTCHURCH WEST,RC,FPP,s,Canterbury,Regional,Regional,,,,,,,,,,,,,,,,,2,0,7,3.50,"28,007","11,990",1,14.3%,,,,1,50.0%,,,,,,,"55,995",19,0.03%,"56,014","82,500",67.9%,"55,995",19,"56,014","23,962",42.8%,17,89.5%,"23,979",42.8%,173,,,,173,,34,0.1%,2048,8.5%,"2,082",8.7%,2,28.6%,0,0.0%
CANTERBURY REGION,CANTERBURY REGIONAL COUNCIL,NORTH CANTERBURY,RC,FPP,s,Canterbury,Regional,Regional,,,,,,,,,,,,,,,,,2,0,4,2.00,"27,609","12,827",1,25.0%,,,,1,50.0%,,,,,,,"55,192",26,0.05%,"55,218","78,300",70.5%,"55,192",26,"55,218","25,638",46.5%,16,61.5%,"25,654",46.5%,138,,,,138,,64,0.2%,2085,8.1%,"2,149",8.4%,1,25.0%,1,50.0%
CANTERBURY REGION,CANTERBURY REGIONAL COUNCIL,SELWYN-BANKS PENINSULA,RC,FPP,s,Canterbury,Regional,Regional,,,,,,,,,,,,,,,,,1,0,2,2.00,"28,617","13,188",1,50.0%,,,,0,0.0%,,,,,,,"28,586",31,0.11%,"28,617","42,300",67.7%,"28,586",31,"28,617","13,168",46.1%,20,64.5%,"13,188",46.1%,122,,,,122,,14,0.1%,975,7.4%,989,7.5%,1,50.0%,1,100.0%
CANTERBURY REGION,CANTERBURY REGIONAL COUNCIL,SOUTH CANTERBURY,RC,FPP,s,Canterbury,Regional,Regional,,,,,,,,,,,,,,,,,2,0,3,1.50,"20,977","11,901",1,33.3%,,,,1,50.0%,,,,,,,"41,884",70,0.17%,"41,954","56,800",73.9%,"41,884",70,"41,954","23,738",56.7%,64,91.4%,"23,802",56.7%,120,,,,120,,19,0.1%,1863,7.8%,"1,882",7.9%,1,33.3%,1,50.0%
CANTERBURY REGION,CANTERBURY REGIONAL COUNCIL,RAKAIA,RC,FPP,s,Canterbury,Regional,Regional,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"24,104",,1,100.0%,,,,1,100.0%,,,,,,,"24,093",11,0.05%,"24,104","34,600",69.7%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
CARTERTON DISTRICT,WAIRARAPA DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Wellington,DHB,DHB,,,,,,,,,Alphabetical order,,,,,,,,7,0,14,2.00,"4,139","2,399",,,,,,,,,,5,35.7%,5,71.4%,"28,971",,,"28,971","39,500",73.3%,"28,971",,"28,971","16,794",58.0%,,,"16,794",58.0%,194,1.2%,181,,181,93.3%,1023,6.1%,1044,6.2%,"2,067",12.3%,12,85.7%,6,85.7%
CARTERTON DISTRICT,CARTERTON DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Wellington,Rural,District,,Yes,Saturday 13th Oct 3.14pm,18:44:00,No,,No,,Alphabetical order,"5,444",44,2,43,30,6,,1,0,4,4.00,"5,444","3,290",1,25.0%,1,y,Re-elected,1,100.0%,1,,,,,,"5,421",23,0.42%,"5,444","7,300",74.6%,"5,421",23,"5,444","3,271",60.3%,19,82.6%,"3,290",60.4%,50,1.5%,39,6,45,90.0%,2,0.1%,31,0.9%,33,1.0%,2,50.0%,0,0.0%
CARTERTON DISTRICT,CARTERTON DISTRICT COUNCIL,CARTERTON RURAL,DC,FPP,n,Wellington,Rural,District,,,,,,,,,,,,,,,,,3,0,5,1.67,753,447,1,20.0%,1,,,1,33.3%,1,,0,0.0%,0,0.0%,"2,246",12,0.53%,"2,258","3,090",73.1%,"2,246",12,"2,258","1,332",59.3%,9,75.0%,"1,341",59.4%,25,1.9%,17,4,21,84.0%,1,0.1%,42,3.1%,43,3.2%,2,40.0%,1,33.3%
CARTERTON DISTRICT,CARTERTON DISTRICT COUNCIL,CARTERTON URBAN,DC,FPP,n,Wellington,Rural,District,,,,,,,,,,,,,,,,,5,0,7,1.40,637,382,4,57.1%,0,,,4,80.0%,4,,0,0.0%,0,0.0%,"3,175",11,0.35%,"3,186","4,210",75.7%,"3,175",11,"3,186","1,902",59.9%,10,90.9%,"1,912",60.0%,25,1.3%,22,2,24,96.0%,3,0.2%,50,2.6%,53,2.8%,3,42.9%,3,60.0%
CENTRAL HAWKE'S BAY DISTRICT,CENTRAL HAWKE'S BAY DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Hawke's Bay,Rural,District,,No,,4.30pm,Yes,Hawke's Bay District Health Board,No,,Alphabetical order,9218,75,23,38,22,10,,1,0,4,4.00,"9,208","5,351",2,50.0%,0,y,Stood down,0,0.0%,1,,,,,,"9,163",45,0.49%,"9,208","13,260",69.4%,"9,163",45,"9,208","5,302",57.9%,49,108.9%,"5,351",58.1%,38,0.7%,24,8,32,84.2%,5,0.1%,56,1.0%,61,1.1%,2,50.0%,1,100.0%
CENTRAL HAWKE'S BAY DISTRICT,CENTRAL HAWKE'S BAY DISTRICT COUNCIL,ARAMOANA-RUAHINE,DC,FPP,n,Hawke's Bay,Rural,District,,,,,,,,,,,,,,,,,4,0,6,1.50,"1,133",674,4,66.7%,0,,,3,75.0%,3,,0,0.0%,0,0.0%,"4,494",38,0.84%,"4,532","6,500",69.7%,"4,494",38,"4,532","2,655",59.1%,40,105.3%,"2,695",59.5%,23,0.9%,15,5,20,87.0%,0,0.0%,42,1.6%,42,1.6%,1,16.7%,1,25.0%
CENTRAL HAWKE'S BAY DISTRICT,CENTRAL HAWKE'S BAY DISTRICT COUNCIL,RUATANIWHA,DC,FPP,n,Hawke's Bay,Rural,District,,,,,,,,,,,,,,,,,4,0,7,1.75,"1,169",664,3,42.9%,0,,,3,75.0%,3,,0,0.0%,0,0.0%,"4,669",7,0.15%,"4,676","6,760",69.2%,"4,669",7,"4,676","2,647",56.7%,9,128.6%,"2,656",56.8%,15,0.6%,9,3,12,80.0%,5,0.2%,17,0.6%,22,0.8%,1,14.3%,1,25.0%
CENTRAL OTAGO DISTRICT,VINCENT COMMUNITY BOARD,ALEXANDRA,CB,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,,3,2,5,1.67,"1,410",851,,,,,,,,,,5,100.0%,2,66.7%,"4,214",17,0.40%,"4,231",,,"4,214",17,"4,231","2,529",60.0%,23,135.3%,"2,552",60.3%,17,0.7%,2,9,11,64.7%,9,0.4%,61,2.4%,70,2.7%,1,20.0%,0,0.0%
CENTRAL OTAGO DISTRICT,VINCENT COMMUNITY BOARD,EARNSCLEUGH-MANUHERIKIA,CB,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,,2,2,3,1.50,"1,159",671,,,,,,,,,,3,100.0%,2,100.0%,"2,292",26,1.12%,"2,318",,,"2,292",26,"2,318","1,318",57.5%,24,92.3%,"1,342",57.9%,8,0.6%,0,5,5,62.5%,1,0.1%,52,3.9%,53,3.9%,2,66.7%,1,50.0%
CENTRAL OTAGO DISTRICT,CROMWELL COMMUNITY BOARD,AT LARGE,CB,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,At large,4,0,7,1.75,989,466,,,,,,,,,,4,57.1%,3,75.0%,"3,920",35,0.88%,"3,955","5,310",74.5%,"3,920",35,"3,955","1,824",46.5%,39,111.4%,"1,863",47.1%,10,0.5%,2,6,8,80.0%,5,0.3%,15,0.8%,20,1.1%,2,28.6%,2,50.0%
CENTRAL OTAGO DISTRICT,MANIOTOTO COMMUNITY BOARD,AT LARGE,CB,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,At large,4,3,4,1.00,312,,,,,,,,,,,4,100.0%,3,75.0%,"1,213",34,2.73%,"1,247","1,750",71.3%,,,,,,,,,,,,,,,,,,,,,,1,25.0%,1,25.0%
CENTRAL OTAGO DISTRICT,ROXBURGH COMMUNITY BOARD,AT LARGE,CB,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,At large,4,0,6,1.50,310,196,,,,,,,,,,2,33.3%,2,50.0%,"1,232",8,0.65%,"1,240","1,700",72.9%,"1,232",8,"1,240",777,63.1%,6,75.0%,783,63.1%,3,0.4%,0,3,3,100.0%,0,0.0%,2,0.3%,2,0.3%,1,16.7%,1,25.0%
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Otago,Rural,District,,No,,15:10:00,Yes,Central Otago Health Inc,Yes,Should Council water supplies be flouridated,Pseudo-random order,12991,147,183,45,5,28,,1,0,3,3.00,"12,991","7,359",1,33.3%,1,y,Re-elected,1,100.0%,1,,,,,,"12,871",120,0.92%,"12,991","17,430",74.5%,"12,871",120,"12,991","7,228",56.2%,131,109.2%,"7,359",56.6%,45,0.6%,5,28,33,73.3%,10,0.1%,254,3.5%,264,3.6%,0,0.0%,0,0.0%
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,ALEXANDRA,DC,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,,3,0,4,1.33,"1,410",851,3,75.0%,0,,,2,66.7%,2,,1,25.0%,1,33.3%,"4,214",17,0.40%,"4,231","5,510",76.8%,"4,214",17,"4,231","2,529",60.0%,23,135.3%,"2,552",60.3%,17,0.7%,2,9,11,64.7%,6,0.2%,55,2.2%,61,2.4%,1,25.0%,1,33.3%
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,CROMWELL,DC,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,Unopposed,3,3,3,1.00,"1,318",,2,66.7%,0,,,2,66.7%,2,,1,33.3%,1,33.3%,"3,920",35,0.88%,"3,955","5,310",74.5%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,EARNSCLEUGH-MANUHERIKIA,DC,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,,2,0,3,1.50,"1,159",671,0,0.0%,1,,,0,0.0%,0,,2,66.7%,2,100.0%,"2,292",26,1.12%,"2,318","3,160",73.4%,"2,292",26,"2,318","1,318",57.5%,24,92.3%,"1,342",57.9%,8,0.6%,0,5,5,62.5%,1,0.1%,33,2.5%,34,2.5%,1,33.3%,1,50.0%
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,MANIOTOTO,DC,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,,1,0,2,2.00,"1,247",819,1,50.0%,0,,,0,0.0%,0,,1,50.0%,1,100.0%,"1,213",34,2.73%,"1,247","1,750",71.3%,"1,213",34,"1,247",780,64.3%,39,114.7%,819,65.7%,7,0.9%,1,5,6,85.7%,1,0.1%,1,0.1%,2,0.2%,1,50.0%,0,0.0%
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,ROXBURGH,DC,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,,1,0,2,2.00,"1,240",783,0,0.0%,0,,,0,0.0%,0,,2,100.0%,2,200.0%,"1,232",8,0.65%,"1,240","1,700",72.9%,"1,232",8,"1,240",777,63.1%,6,75.0%,783,63.1%,3,0.4%,0,3,3,100.0%,0,0.0%,26,3.3%,26,3.3%,0,0.0%,0,0.0%
CHATHAM ISLANDS TERRITORY,CHATHAM ISLANDS TERRITORY COUNCIL,AT LARGE,MAYOR,STV,s,Chatham Islands,Rural,District,,Yes,13-Oct-07,21:15:00,Yes,DBH  Hawkes Bay District Helath Board Elections,No,,Alphabetical order,346,3,2,12,11,1,,1,0,2,2.00,352,225,1,50.0%,0,y,Re-elected,1,100.0%,1,,,,,,346,6,1.70%,352,640,55.0%,346,6,352,212,61.3%,13,216.7%,225,63.9%,12,5.3%,11,1,12,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
CHATHAM ISLANDS TERRITORY,CHATHAM ISLANDS TERRITORY COUNCIL,AT LARGE,DC,STV,s,Chatham Islands,Rural,District,,,,,,,,,,,,,,,,At large,8,8,8,1.00,44,,7,87.5%,0,,,7,87.5%,7,88.9%,0,0.0%,0,0.0%,346,6,1.70%,352,640,55.0%,,,,,,,,,,,,,,,,,,,,,,3,37.5%,3,37.5%
CHRISTCHURCH CITY,CANTERBURY DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,s,Canterbury,DHB,DHB,,,,,,,,,Random order,,,,,,,,7,0,34,4.86,"48,062","20,657",,,,,,,,,,3,8.8%,3,42.9%,"336,436",,,"336,436","490,100",68.6%,"336,436",,"336,436","144,601",43.0%,,,"144,601",43.0%,1629,1.1%,836,,836,51.3%,12262,8.5%,12983,9.0%,"25,245",17.5%,11,32.4%,4,57.1%
CHRISTCHURCH CITY,AKAROA-WAIREWA COMMUNITY BOARD,AKAROA,CB,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,,,,,,Unopposed,3,2,2,0.67,606,,,,,,,,,,,1,50.0%,1,33.3%,"1,393",424,23.34%,"1,817","1,780",102.1%,,,,,,,,,,,,,,,,,,,,,,1,50.0%,1,33.3%
CHRISTCHURCH CITY,AKAROA-WAIREWA COMMUNITY BOARD,WAIREWA,CB,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,,,,,,,2,0,3,1.50,386,220,,,,,,,,,,2,66.7%,2,100.0%,737,35,4.53%,772,"1,070",72.1%,737,35,772,410,55.6%,29,82.9%,439,56.9%,7,1.6%,5,1,6,85.7%,0,0.0%,15,3.4%,15,3.4%,0,0.0%,0,0.0%
CHRISTCHURCH CITY,BURWOOD-PEGASUS COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,,,,,,At large,5,0,14,2.80,"8,295","3,295",,,,,,,,,,1,7.1%,1,20.0%,"41,460",13,0.03%,"41,473","59,900",69.2%,"41,460",13,"41,473","16,461",39.7%,14,107.7%,"16,475",39.7%,150,0.9%,84,3,87,58.0%,56,0.3%,1038,6.3%,"1,094",6.6%,6,42.9%,2,40.0%
CHRISTCHURCH CITY,FENDALTON-WAIMAIRI COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,,,,,,At large,5,0,10,2.00,"7,812","3,524",,,,,,,,,,4,40.0%,4,80.0%,"39,013",45,0.12%,"39,058","55,100",70.9%,"39,013",45,"39,058","17,570",45.0%,50,111.1%,"17,620",45.1%,210,1.2%,117,8,125,59.5%,27,0.2%,1147,6.5%,"1,174",6.7%,4,40.0%,3,60.0%
CHRISTCHURCH CITY,HAGLEY-FERRYMEAD COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,,,,,,At large,5,0,11,2.20,"7,666","2,943",,,,,,,,,,3,27.3%,3,60.0%,"38,287",43,0.11%,"38,330","58,400",65.6%,"38,287",43,"38,330","14,665",38.3%,48,111.6%,"14,713",38.4%,333,2.3%,137,14,151,45.3%,20,0.1%,1231,8.4%,"1,251",8.5%,3,27.3%,1,20.0%
CHRISTCHURCH CITY,LYTTELTON-MOUNT HERBERT COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,,,,,,At large,5,0,8,1.60,892,490,,,,,,,,,,4,50.0%,3,60.0%,"4,266",192,4.31%,"4,458","5,640",79.0%,"4,266",192,"4,458","2,320",54.4%,130,67.7%,"2,450",55.0%,42,1.7%,17,4,21,50.0%,5,0.2%,98,4.0%,103,4.2%,4,50.0%,3,60.0%
CHRISTCHURCH CITY,RICCARTON-WIGRAM COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,,,,,,At large,5,0,16,3.20,"8,562","3,533",,,,,,,,,,4,25.0%,2,40.0%,"42,767",45,0.11%,"42,812","64,300",66.6%,"42,767",45,"42,812","17,624",41.2%,43,95.6%,"17,667",41.3%,235,1.3%,100,6,106,45.1%,53,0.3%,954,5.4%,"1,007",5.7%,3,18.8%,2,40.0%
CHRISTCHURCH CITY,SHIRLEY-PAPANUI COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,,,,,,At large,5,0,8,1.60,"8,585","3,577",,,,,,,,,,2,25.0%,2,40.0%,"42,891",35,0.08%,"42,926","63,200",67.9%,"42,891",35,"42,926","17,852",41.6%,31,88.6%,"17,883",41.7%,178,1.0%,84,4,88,49.4%,22,0.1%,1000,5.6%,"1,022",5.7%,5,62.5%,3,60.0%
CHRISTCHURCH CITY,SPREYDON-HEATHCOTE COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,,,,,,At large,5,0,18,3.60,"7,905","3,452",,,,,,,,,,3,16.7%,3,60.0%,"39,491",36,0.09%,"39,527","56,300",70.2%,"39,491",36,"39,527","17,222",43.6%,36,100.0%,"17,258",43.7%,194,1.1%,111,4,115,59.3%,65,0.4%,928,5.4%,993,5.8%,6,33.3%,1,20.0%
CHRISTCHURCH CITY,CHRISTCHURCH CITY COUNCIL,AT LARGE,MAYOR,FPP,s,Canterbury,Metro,City,l,Yes,12.54pm - 13.10.07,11.43am - 14.10.07,No,,No,,Random order,"252,050",3784,547,1361,661,49,,1,0,10,10.00,"250,596","105,286",1,10.0%,3,y,Stood down,0,0.0%,1,,,,,,"250,305",291,0.12%,"250,596","365,680",68.5%,"250,305",291,"250,596","104,998",41.9%,288,99.0%,"105,286",42.0%,1361,1.3%,669,49,718,52.8%,229,0.2%,1544,1.5%,"1,773",1.7%,2,20.0%,0,0.0%
CHRISTCHURCH CITY,CHRISTCHURCH CITY COUNCIL,BANKS PENINSULA,CC,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,,,,,,,1,0,2,2.00,"6,538","3,739",0,0.0%,0,,,0,0.0%,0,,2,100.0%,1,100.0%,"6,396",142,2.17%,"6,538","8,480",77.1%,"6,396",142,"6,538","3,616",56.5%,123,86.6%,"3,739",57.2%,61,1.6%,27,11,38,62.3%,0,0.0%,227,6.1%,227,6.1%,1,50.0%,1,100.0%
CHRISTCHURCH CITY,CHRISTCHURCH CITY COUNCIL,BURWOOD-PEGASUS,CC,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,,,,,,,2,0,9,4.50,"20,735","8,226",1,11.1%,1,,,1,50.0%,1,,2,22.2%,0,0.0%,"41,460",9,0.02%,"41,469","59,900",69.2%,"41,460",9,"41,469","16,441",39.7%,10,111.1%,"16,451",39.7%,150,0.9%,85,2,87,58.0%,26,0.2%,640,3.9%,666,4.0%,5,55.6%,2,100.0%
CHRISTCHURCH CITY,CHRISTCHURCH CITY COUNCIL,FENDALTON-WAIMAIRI,CC,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,,,,,,,2,0,8,4.00,"19,524","8,806",1,12.5%,1,,,1,50.0%,1,,2,25.0%,1,50.0%,"39,013",34,0.09%,"39,047","55,100",70.9%,"39,013",34,"39,047","17,570",45.0%,41,120.6%,"17,611",45.1%,210,1.2%,117,8,125,59.5%,21,0.1%,725,4.1%,746,4.2%,4,50.0%,1,50.0%
CHRISTCHURCH CITY,CHRISTCHURCH CITY COUNCIL,HAGLEY-FERRYMEAD,CC,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,,,,,,,2,0,10,5.00,"19,157","7,349",1,10.0%,0,,,1,50.0%,1,,2,20.0%,1,50.0%,"38,287",26,0.07%,"38,313","58,400",65.6%,"38,287",26,"38,313","14,665",38.3%,33,126.9%,"14,698",38.4%,333,2.3%,137,14,151,45.3%,35,0.2%,464,3.2%,499,3.4%,3,30.0%,0,0.0%
CHRISTCHURCH CITY,CHRISTCHURCH CITY COUNCIL,RICCARTON-WIGRAM,CC,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,,,,,,,2,0,8,4.00,"21,399","8,828",2,25.0%,0,,,2,100.0%,2,,1,12.5%,0,0.0%,"42,767",30,0.07%,"42,797","64,300",66.6%,"42,767",30,"42,797","17,624",41.2%,31,103.3%,"17,655",41.3%,235,1.3%,100,6,106,45.1%,27,0.2%,702,4.0%,729,4.1%,1,12.5%,1,50.0%
CHRISTCHURCH CITY,CHRISTCHURCH CITY COUNCIL,SHIRLEY-PAPANUI,CC,FPP,s,Otago,Metro,City,l,,,,,,,,,,,,,,,,2,0,6,3.00,"21,459","8,942",1,16.7%,0,,,1,50.0%,1,,1,16.7%,1,50.0%,"42,891",27,0.06%,"42,918","63,200",67.9%,"42,891",27,"42,918","17,860",41.6%,24,88.9%,"17,884",41.7%,178,1.0%,92,4,96,53.9%,21,0.1%,494,2.8%,515,2.9%,1,16.7%,1,50.0%
CHRISTCHURCH CITY,CHRISTCHURCH CITY COUNCIL,SPREYDON-HEATHCOTE,CC,FPP,s,Otago,Metro,City,l,,,,,,,,,,,,,,,,2,0,5,2.50,"19,757","8,624",2,40.0%,1,,,2,100.0%,2,,1,20.0%,0,0.0%,"39,491",23,0.06%,"39,514","56,300",70.2%,"39,491",23,"39,514","17,222",43.6%,26,113.0%,"17,248",43.7%,194,1.1%,111,4,115,59.3%,11,0.1%,603,3.5%,614,3.6%,2,40.0%,1,50.0%
CLUTHA DISTRICT,CLUTHA LICENSING TRUST,WARD 1 BALCLUTHA,LT,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,,3,0,6,2.00,"1,573",850,,,,,,,,,,2,33.3%,1,33.3%,"4,718",,,"4,718",,,"4,718",,"4,718","2,550",54.0%,,,"2,550",54.0%,4,0.2%,4,,4,100.0%,12,0.5%,59,2.3%,71,2.8%,3,50.0%,3,100.0%
CLUTHA DISTRICT,CLUTHA LICENSING TRUST,WARD 2 MILTON,LT,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,Unopposed,2,2,2,1.00,"1,299",,,,,,,,,,,2,100.0%,2,100.0%,"2,598",,,"2,598",,,,,,,,,,,,,,,,,,,,,,,,1,50.0%,1,50.0%
CLUTHA DISTRICT,CLUTHA LICENSING TRUST,WARD 3 KAITANGATA,LT,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,,1,0,3,3.00,736,369,,,,,,,,,,1,33.3%,0,0.0%,736,,,736,,,736,,736,369,50.1%,,,369,50.1%,1,0.3%,1,,1,100.0%,1,0.3%,16,4.3%,17,4.6%,1,33.3%,1,100.0%
CLUTHA DISTRICT,CLUTHA LICENSING TRUST,WARD 4 LAWRENCE,LT,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,791,,,,,,,,,,,1,100.0%,1,100.0%,791,,,791,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
CLUTHA DISTRICT,CLUTHA LICENSING TRUST,WARD 5 OWAKA,LT,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,619,,,,,,,,,,,1,100.0%,1,100.0%,619,,,619,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
CLUTHA DISTRICT,CLUTHA LICENSING TRUST,WARD 6 CLINTON,LT,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,780,,,,,,,,,,,1,100.0%,1,100.0%,780,,,780,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
CLUTHA DISTRICT,LAWRENCE-TUAPEKA COMMUNITY BOARD,AT LARGE,CB,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,At large,6,0,7,1.17,145,83,,,,,,,,,,6,85.7%,5,83.3%,868,4,0.46%,872,"1,250",69.8%,868,4,872,494,56.9%,4,100.0%,498,57.1%,0,0.0%,0,0,0,,0,0.0%,3,0.6%,3,0.6%,2,28.6%,1,16.7%
CLUTHA DISTRICT,WEST OTAGO COMMUNITY BOARD,AT LARGE,CB,FPP,s,Otago,Rural,District,,,,,,,,,,,,,,,,At large,6,6,6,1.00,249,,,,,,,,,,,4,66.7%,4,66.7%,"1,490",2,0.13%,"1,492","2,130",70.0%,,,,,,,,,,,,,,,,,,,,,,3,50.0%,3,50.0%
CLUTHA DISTRICT,CLUTHA DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Otago,Rural,District,,No,,15:02:00,Yes,Clutha Health Incorporated,Yes,"Fluoridation - Milton township water supply, Fluoridation - Kaitangata township water supply, Fluoridation - Tapanui township water supply.",Alphabetical order,12011,110,0,7,6,1,Unopposed,1,1,1,1.00,"12,011",,1,100.0%,0,y,Unopposed,1,100.0%,1,,,,,,"11,971",40,0.33%,"12,011","17,190",69.9%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
